Geog_lev,Geog_code,Geog_name,Overall_1,Infogath_1,needsanalysis_1,procedure_1,protocol_1,needassess_1,Overall_2,Infogath_2,needsanalysis_2,procedure_2,protocol_2,needassess_2,Overall_3,Infogath_3,needsanalysis_3,procedure_3,protocol_3,needassess_3,Overall_4,Infogath_4,needsanalysis_4,procedure_4,protocol_4,needassess_4,Overall_5,Infogath_5,needsanalysis_5,procedure_5,protocol_5,needassess_5,Overall_6,Infogath_6,needsanalysis_6,procedure_6,protocol_6,needassess_6,Overall_7,Infogath_7,needsanalysis_7,procedure_7,protocol_7,needassess_7
LA,830,Derbyshire,11,2,3,2,2,2,11,2,3,2,2,2,12,2,3,2,2,3,14,2,3,3,3,3,15,3,3,3,3,3,15,3,3,3,3,3,15,3,3,3,3,3
LA,831,Derby,9,2,2,1,1,3,9,2,2,1,1,3,10,2,2,1,2,3,11,2,2,1,3,3,12,2,3,1,3,3,13,2,3,2,3,3,13,2,3,2,3,3
LA,855,Leicestershire,7,0,2,2,3,0,8,1,2,2,3,0,8,1,2,2,3,0,10,2,2,3,3,0,12,2,2,3,3,2,12,2,2,3,3,2,-,-,-,-,-,-
LA,856,Leicester,15,3,3,3,3,3,15,3,3,3,3,3,15,3,3,3,3,3,15,3,3,3,3,3,15,3,3,3,3,3,11,2,2,3,2,2,11,2,2,3,2,2
LA,857,Rutland,10,2,2,3,2,1,10,2,2,3,2,1,10,2,2,3,2,1,-,-,-,-,-,-,10,2,2,3,2,1,11,2,2,3,3,1,11,2,2,3,3,1
LA,891,Nottinghamshire,5,0,2,0,2,1,6,0,2,1,2,1,6,0,2,1,2,1,6,0,2,1,2,1,12,2,2,2,3,3,12,2,2,2,3,3,11,3,3,2,2,1
LA,892,Nottingham,6,1,2,1,1,1,7,2,2,1,1,1,7,2,2,1,1,1,8,2,3,1,1,1,12,2,2,2,3,3,12,2,2,2,3,3,10,3,3,1,1,2
LA,925,Lincolnshire,5,0,1,1,2,1,6,1,1,1,2,1,8,1,2,2,2,1,10,1,3,2,2,2,10,1,3,2,2,2,10,1,3,2,2,2,12,2,3,2,3,2
LA,928,Northamptonshire,6,1,1,1,1,2,7,1,1,2,1,2,7,1,1,2,1,2,7,1,1,2,1,2,8,2,1,2,1,2,10,2,2,2,2,2,11,3,2,2,2,2
LA,821,Luton,8,1,1,2,2,2,10,2,2,2,2,2,10,2,2,2,2,2,10,2,2,2,2,2,8,1,1,2,2,2,10,1,3,2,2,2,-,-,-,-,-,-
LA,822,Bedford,9,1,1,3,2,2,9,1,1,3,2,2,8,1,1,2,2,2,8,1,1,2,2,2,9,1,1,3,2,2,9,1,1,3,2,2,10,1,3,2,2,2
LA,823,Central Bedfordshire,-,-,-,-,-,-,-,-,-,-,-,-,9,1,1,3,2,2,9,1,1,3,2,2,11,2,2,2,3,2,11,2,2,2,3,2,9,1,1,3,2,2
LA,873,Cambridgeshire,3,1,0,1,1,0,4,1,0,1,1,1,4,1,0,1,1,1,6,1,0,2,2,1,7,1,0,2,2,2,7,1,0,2,2,2,8,1,1,2,2,2
LA,874,Peterborough,-,-,-,-,-,-,7,1,1,2,2,1,7,1,1,2,2,1,0,0,0,0,0,0,4,1,0,0,3,0,9,2,2,1,3,1,10,3,2,1,3,1
LA,881,Essex,9,1,3,2,2,1,9,1,3,2,2,1,9,1,3,2,2,1,9,1,3,2,2,1,12,3,3,2,2,2,11,2,3,2,2,2,-,-,-,-,-,-
