LA_order,New_geog_code,geog_l,geog_c,geog_n,Pup_enrol,Perm_excl,Perm_excl_%,Fixed_excl,Fixed_excl_%
38,E08000015,LA,344,Wirral,334,x,x,35,10.47904192
18,E08000001,LA,350,Bolton,290,x,x,34,11.72413793
19,E08000002,LA,351,Bury,134,x,x,15,11.19402985
27,E08000003,LA,352,Manchester,655,x,x,94,14.35114504
28,E08000004,LA,353,Oldham,185,x,x,21,11.35135135
29,E08000005,LA,354,Rochdale,249,x,x,24,9.638554217
30,E08000006,LA,355,Salford,259,x,x,27,10.42471042
33,E08000007,LA,356,Stockport,119,x,x,12,10.08403361
34,E08000008,LA,357,Tameside,213,x,x,31,14.55399061
35,E08000009,LA,358,Trafford,171,x,x,13,7.602339181
37,E08000010,LA,359,Wigan,248,x,x,28,11.29032258
40,E08000016,LA,370,Barnsley,99,x,x,12,12.12121212
43,E08000017,LA,371,Doncaster,244,x,x,35,14.3442623
51,E08000018,LA,372,Rotherham,183,x,x,24,13.1147541
52,E08000019,LA,373,Sheffield,236,x,x,30,12.71186441
41,E08000032,LA,380,Bradford,405,x,x,42,10.37037037
42,E08000033,LA,381,Calderdale,162,x,x,22,13.58024691
46,E08000034,LA,382,Kirklees,297,x,x,35,11.78451178
47,E08000035,LA,383,Leeds,614,x,x,72,11.72638436
53,E08000036,LA,384,Wakefield,215,x,x,30,13.95348837
5,E08000037,LA,390,Gateshead,146,x,x,9,6.164383562
8,E08000021,LA,391,Newcastle upon Tyne,219,x,x,27,12.32876712
9,E08000022,LA,392,North Tyneside,134,x,x,13,9.701492537
12,E08000023,LA,393,South Tyneside,145,x,x,11,7.586206897
14,E08000024,LA,394,Sunderland,221,x,x,22,9.954751131
156,E06000053,LA,420,Isles of Scilly,0,.,.,.,x
149,E06000022,LA,800,Bath and North East Somerset,65,x,x,14,21.53846154
151,E06000023,LA,801,"Bristol, City of",294,x,x,60,20.40816327
157,E06000024,LA,802,North Somerset,84,x,x,11,13.0952381
161,E06000025,LA,803,South Gloucestershire,61,x,x,11,18.03278689
6,E06000001,LA,805,Hartlepool,83,x,x,7,8.43373494
7,E06000002,LA,806,Middlesbrough,153,x,x,16,10.45751634
11,E06000003,LA,807,Redcar and Cleveland,93,x,x,10,10.75268817
13,E06000004,LA,808,Stockton-on-Tees,194,x,x,9,4.639175258
45,E06000010,LA,810,"Kingston Upon Hull, City of",298,x,x,31,10.40268456
44,E06000011,LA,811,East Riding of Yorkshire,129,x,x,11,8.527131783
48,E06000012,LA,812,North East Lincolnshire,106,x,x,11,10.37735849
49,E06000013,LA,813,North Lincolnshire,93,x,x,11,11.82795699
50,E10000023,LA,815,North Yorkshire,177,x,x,19,10.73446328
54,E06000014,LA,816,York,87,x,x,7,8.045977011
86,E06000032,LA,821,Luton,172,x,x,17,9.88372093
81,E06000055,LA,822,Bedford,115,x,x,9,7.826086957
82,E06000056,LA,823,Central Bedfordshire,131,x,x,15,11.45038168
131,E10000002,LA,825,Buckinghamshire,182,x,x,19,10.43956044
137,E06000042,LA,826,Milton Keynes,145,x,x,16,11.03448276
57,E10000007,LA,830,Derbyshire,243,x,x,36,14.81481481
56,E06000015,LA,831,Derby,207,x,x,28,13.52657005
154,E10000009,LA,835,Dorset,162,x,x,25,15.43209877
159,E06000029,LA,836,Poole,64,x,x,7,10.9375
150,E06000028,LA,837,Bournemouth,107,x,x,16,14.95327103
4,E06000047,LA,840,County Durham,324,x,x,26,8.024691358
3,E06000005,LA,841,Darlington,76,x,x,x,x
132,E10000011,LA,845,East Sussex,288,x,x,44,15.27777778
130,E06000043,LA,846,Brighton and Hove,177,x,x,18,10.16949153
133,E10000014,LA,850,Hampshire,613,x,x,75,12.23491028
139,E06000044,LA,851,Portsmouth,139,x,x,22,15.82733813
142,E06000045,LA,852,Southampton,253,x,x,26,10.27667984
59,E10000018,LA,855,Leicestershire,184,x,x,20,10.86956522
58,E06000016,LA,856,Leicester,251,x,x,33,13.14741036
64,E06000017,LA,857,Rutland,12,x,x,x,x
73,E10000028,LA,860,Staffordshire,464,x,x,50,10.77586207
74,E06000021,LA,861,Stoke-on-Trent,260,x,x,23,8.846153846
164,E06000054,LA,865,Wiltshire,181,x,x,10,5.524861878
162,E06000030,LA,866,Swindon,94,x,x,19,20.21276596
129,E06000036,LA,867,Bracknell Forest,38,x,x,x,x
146,E06000040,LA,868,Windsor and Maidenhead,43,x,x,x,x
144,E06000037,LA,869,West Berkshire,67,x,x,7,10.44776119
140,E06000038,LA,870,Reading,81,x,x,9,11.11111111
141,E06000039,LA,871,Slough,61,x,x,x,x
147,E06000041,LA,872,Wokingham,26,x,x,x,x
83,E10000003,LA,873,Cambridgeshire,252,x,x,31,12.3015873
88,E06000031,LA,874,Peterborough,128,x,x,13,10.15625
23,E06000006,LA,876,Halton,100,x,x,11,11
36,E06000007,LA,877,Warrington,138,x,x,13,9.420289855
153,E10000008,LA,878,Devon,263,x,x,41,15.58935361
158,E06000026,LA,879,Plymouth,154,x,x,21,13.63636364
163,E06000027,LA,880,Torbay,143,x,x,13,9.090909091
84,E10000012,LA,881,Essex,438,x,x,39,8.904109589
89,E06000033,LA,882,Southend-on-Sea,88,x,x,12,13.63636364
91,E06000034,LA,883,Thurrock,115,x,x,13,11.30434783
69,E06000019,LA,884,"Herefordshire, County of",119,x,x,14,11.76470588
79,E10000034,LA,885,Worcestershire,326,x,x,48,14.72392638
135,E10000016,LA,886,Kent,801,x,x,89,11.11111111
136,E06000035,LA,887,Medway,179,x,x,19,10.61452514
25,E10000017,LA,888,Lancashire,732,x,x,56,7.650273224
16,E06000008,LA,889,Blackburn with Darwen,145,x,x,14,9.655172414
17,E06000009,LA,890,Blackpool,193,x,x,22,11.39896373
63,E10000024,LA,891,Nottinghamshire,369,x,x,36,9.756097561
62,E06000018,LA,892,Nottingham,268,x,x,30,11.19402985
71,E06000051,LA,893,Shropshire,125,x,x,11,8.8
75,E06000020,LA,894,Telford and Wrekin,140,x,x,23,16.42857143
20,E06000049,LA,895,Cheshire East,189,x,x,25,13.22751323
21,E06000050,LA,896,Cheshire West and Chester,209,x,x,19,9.090909091
152,E06000052,LA,908,Cornwall,182,x,x,24,13.18681319
22,E10000006,LA,909,Cumbria,304,x,x,20,6.578947368
155,E10000013,LA,916,Gloucestershire,209,x,x,27,12.91866029
85,E10000015,LA,919,Hertfordshire,402,x,x,64,15.92039801
134,E06000046,LA,921,Isle of Wight,78,x,x,12,15.38461538
60,E10000019,LA,925,Lincolnshire,285,x,x,25,8.771929825
87,E10000020,LA,926,Norfolk,498,x,x,47,9.437751004
61,E10000021,LA,928,Northamptonshire,331,x,x,43,12.99093656
10,E06000057,LA,929,Northumberland,137,x,x,27,19.7080292
138,E10000025,LA,931,Oxfordshire,197,x,x,29,14.72081218
160,E10000027,LA,933,Somerset,209,x,x,38,18.18181818
90,E10000029,LA,935,Suffolk,331,x,x,38,11.48036254
143,E10000030,LA,936,Surrey,299,x,x,35,11.70568562
77,E10000031,LA,937,Warwickshire,283,x,x,40,14.13427562
145,E10000032,LA,938,West Sussex,237,x,x,32,13.5021097
