LA Number,,Number of looked after children attending primary schools,Number of possible sessions - primary schools,Number of sessions of authorised absence - primary schools,Number of sessions of unauthorised absence - primary schools,Number of sessions of overall absence - primary schools,Number of persistent absentees - primary schools,Number of looked after children attending secondary schools,Number of possible sessions - secondary schools,Number of sessions of authorised absence - secondary schools,Number of sessions of unauthorised absence - secondary schools,Number of sessions of overall absence - secondary schools,Number of persistent absentees - secondary schools,Number of looked after children attending special schools,Number of possible sessions - special schools,Number of sessions of authorised absence - special schools,Number of sessions of unauthorised absence - special schools,Number of sessions of overall absence - special schools,Number of persistent absentees - special schools
812,North East Lincolnshire,19,5698,112,x,113,0,35,10218,300,322,622,x,9,2450,190,0,190,x
813,North Lincolnshire,17,4862,190,6,196,0,38,10249,408,75,483,x,7,1646,111,0,111,0
815,North Yorkshire,84,25352,621,48,669,x,102,29879,1347,288,1635,x,24,5350,174,270,444,x
816,York,30,8524,358,23,381,0,39,10602,351,152,503,x,11,2658,75,25,100,0
821,Luton,63,18036,560,27,587,x,102,28923,1568,930,2498,8,14,3773,134,x,136,0
820,Bedfordshire,20,5806,246,x,250,0,75,21692,923,519,1442,x,32,8441,589,85,674,x
825,Buckinghamshire,37,11044,459,17,476,0,54,15147,833,290,1123,x,19,4311,256,x,258,x
826,Milton Keynes,23,6475,153,0,153,0,35,9140,387,76,463,0,13,3027,100,x,104,0
830,Derbyshire,79,22317,877,26,903,x,134,37029,1723,823,2546,10,23,6242,349,9,358,0
831,Derby,73,20807,650,77,727,x,96,27266,1247,475,1722,x,22,6677,349,51,400,x
835,Dorset,34,9735,400,25,425,0,67,18763,991,93,1084,x,13,3984,158,29,187,0
836,Poole,17,4978,143,x,145,0,23,7006,417,183,600,x,13,3065,168,0,168,0
837,Bournemouth,16,4732,154,6,160,0,32,9177,613,160,773,x,13,2957,117,81,198,0
840,Durham,71,20110,925,21,946,0,90,26546,1193,186,1379,x,44,11985,634,66,700,x
841,Darlington,30,8961,163,x,167,0,27,8110,328,95,423,x,10,3082,97,11,108,0
845,East Sussex,81,23923,792,28,820,x,97,28430,1509,395,1904,x,46,13322,879,279,1158,6
846,Brighton & Hove,41,12161,344,14,358,0,88,25975,1425,643,2068,8,19,5527,281,84,365,x
