,,Number of children looked after continuously for 12 months at 31 March 2010 ,Number of children looked after continuously for 12 months at 31 March 2010 who are aged 5 to 15 ,"Number of children looked after continuously for 12 months at 31 March 2010 who are aged 5 to 15  attending primary, secondary or special schools",Number of possible sessions,Number of sessions of authorised absence,Number of sessions of unauthorised absence,Number of sessions of overall absence,"Number of children looked after continuously for 12 months at 31 March 2010 who are aged 5 to 15  attending primary, secondary or special schools classed as persistent absentees"
886,Kent,912,618,521,154856,7796,2058,9854,31
887,Medway,229,140,120,34906,1387,372,1759,x
888,Lancashire,957,619,531,158616,6306,1889,8195,19
889,Blackburn with Darwen,258,174,155,45665,1475,441,1916,7
890,Blackpool,241,167,136,41205,1459,296,1755,x
891,Nottinghamshire,354,239,217,63811,2673,580,3253,x
892,Nottingham,329,201,173,52089,1801,393,2194,6
893,Shropshire,135,90,69,20201,837,286,1123,x
894,Telford and Wrekin,182,127,101,29897,1086,282,1368,x
895,Cheshire East ,269,160,143,43053,1710,333,2043,x
896,Cheshire west and Chester,246,175,151,44167,1647,349,1996,x
908,Cornwall,304,228,207,61783,2068,590,2658,x
909,Cumbria,333,227,208,63638,2721,686,3407,7
916,Gloucestershire,335,208,172,49954,2654,823,3477,11
919,Hertfordshire,734,498,409,118024,5835,1420,7255,24
921,Isle of Wight,138,96,81,24515,1543,910,2453,10
925,Lincolnshire,382,265,238,69494,3279,369,3648,7
926,Norfolk,635,466,386,111678,5501,1253,6754,15
928,Northamptonshire,450,300,243,71546,2844,753,3597,9
929,Northumberland,209,146,128,37414,1818,678,2496,10
931,Oxfordshire,273,188,165,48434,2116,1085,3201,8
933,Somerset,253,163,129,37586,2266,1270,3536,14
935,Suffolk,522,368,309,89580,3805,1627,5432,13
936,Surrey,564,350,271,77420,4151,1559,5710,22
937,Warwickshire,389,279,246,72706,3569,541,4110,9
938,West Sussex,531,345,295,85323,3841,784,4625,14
