New_geog_code,geog_l,geog_c,geog_n,CLA_Mar2012,CLA_2012,CLA_stp2012,CLA_male,CLA_female,CLA_U1,CLA_1to4,CLA_5to9,CLA_10to15,CLA_16over,CLA_White,CLA_Mixed,CLA_Asian,CLA_Black,CLA_EOTH,CLA_Oth,CLA_Fost,CLA_Adopt,CLA_Parent,CLA_Ocom,CLA_Secure,CLA_Ores,CLA_RSch,CLA_Miss,CLA_OthPl,CLA_ICO,CLA_FCO,CLA_FrAd,CLA_PlaceO,CLA_S20,CLA_CPG,CLA_YJLS,CLA_UASC,CLA_Moth,CLA_OwnP,CLA_OthLA,CLA_OthPP,CLA_Priv,CLA_Vol,CLA_Par,CLA_Nrep,CLA_1Pla,CLA_2PLa,CLA_3Pla,CLA_P2yrs,CLAA_InBound,CLA_Outbound,CLA_ExtPl,CLA_NetGain 
E09000023,LA,209,Lewisham,498,701,34,272,226,33,69,75,195,126,160,104,21,206,7,0,395,7,16,32,35,6,x,x,0,101,190,0,24,172,x,8,17,0,161,x,x,253,61,16,x,348,93,57,106,210,279,261,x
E09000028,LA,210,Southwark,551,795,0,321,230,45,75,91,186,154,183,90,24,236,16,x,417,15,13,55,17,20,11,x,0,77,218,0,68,180,0,8,27,0,323,17,x,184,8,13,x,355,125,71,111,148,386,96,x
E09000030,LA,211,Tower Hamlets,293,489,37,158,135,19,42,31,121,80,82,79,102,20,x,x,223,13,6,20,22,x,x,0,0,58,116,0,15,103,0,x,14,0,204,0,x,82,0,6,0,182,78,33,64,77,203,48,x
E09000032,LA,212,Wandsworth,217,320,37,111,106,17,33,30,93,44,76,57,9,72,x,x,150,10,16,10,23,7,x,0,0,47,87,0,28,53,x,x,x,0,141,x,x,52,x,16,0,150,42,23,58,71,136,63,x
E09000033,LA,213,Westminster,208,305,9,110,98,11,26,42,75,54,45,60,16,57,28,x,164,x,x,7,20,6,x,0,0,45,107,x,12,39,0,x,9,0,108,6,x,84,7,x,0,142,42,24,65,45,159,12,x
E09000002,LA,301,Barking and Dagenham,427,626,17,216,211,25,80,83,146,93,264,33,26,83,12,9,337,17,10,33,8,14,7,x,0,102,114,0,38,170,x,x,23,0,258,0,0,155,x,10,x,283,90,54,64,163,246,114,x
E09000003,LA,302,Barnet,300,453,27,178,122,18,32,42,131,77,145,59,18,54,22,x,222,11,7,0,51,x,7,x,0,65,120,x,19,94,0,x,15,0,155,9,0,125,x,7,x,192,78,30,57,110,178,96,x
E09000004,LA,303,Bexley,239,347,49,120,119,15,41,49,77,57,186,20,x,21,11,0,180,20,0,20,13,x,x,x,0,55,78,x,28,74,x,x,6,0,178,x,x,53,x,0,x,141,66,30,46,127,91,223,132
E09000005,LA,304,Brent,362,585,8,195,167,21,45,48,145,103,99,77,47,130,x,x,246,11,13,0,75,x,12,x,0,70,129,0,20,141,0,x,29,0,155,x,x,188,0,13,x,224,87,51,68,147,201,207,6
E09000006,LA,305,Bromley,275,387,95,153,122,23,36,52,91,73,205,35,x,30,x,0,178,13,23,13,25,7,15,x,0,55,112,0,16,92,0,0,x,0,159,0,x,91,0,23,x,172,60,43,52,119,142,170,28
