New_geog_code,geog_l,geog_c,geog_n,All_aged19,LA_nit,Act_HE,Act_OE,Act_TE,Act_Neet_ill,Act_NEET_oth,Acc_P,Acc_FFC,Acc_CH,Acc_SITA,Acc_SL,Acc_OL,Acc_F,Acc_IL,Acc_EA,Acc_BB,Acc_C,Acc_OTH,Acc_SUIT
E08000032,LA,380,Bradford,74,x,7,25,14,x,22,11,7,x,x,8,x,x,30,0,0,x,x,67
E08000033,LA,381,Calderdale,21,x,6,x,x,x,x,x,x,x,0,0,0,0,14,0,0,0,0,19
E08000034,LA,382,Kirklees,31,0,0,10,11,0,10,x,x,x,x,x,0,x,14,0,x,0,x,29
E08000035,LA,383,Leeds,132,8,x,22,56,x,42,20,9,x,x,x,0,x,72,0,0,11,x,111
E08000036,LA,384,Wakefield,38,x,0,20,6,x,7,7,0,x,8,x,0,0,12,0,0,x,x,34
E08000020,LA,390,Gateshead,26,x,0,6,10,0,9,x,0,0,0,8,0,0,14,0,0,0,0,25
E08000021,LA,391,Newcastle upon Tyne,42,x,14,6,10,x,6,8,0,0,x,7,0,x,20,0,0,x,0,40
E08000022,LA,392,North Tyneside,23,0,8,10,x,0,x,x,0,0,x,x,0,x,10,0,0,0,x,23
E08000023,LA,393,South Tyneside,29,0,x,9,12,0,7,x,x,x,x,0,0,0,14,0,0,x,x,29
E08000024,LA,394,Sunderland,40,x,x,9,15,x,9,6,x,x,7,x,x,0,14,0,0,0,x,39
E06000022,LA,800,Bath and North East Somerset,6,0,0,x,x,0,x,x,x,0,x,x,0,0,x,0,0,0,0,x
E06000023,LA,801,"Bristol, City of",70,x,0,31,10,x,23,x,18,6,11,8,0,0,16,0,0,x,x,62
E06000024,LA,802,North Somerset,18,x,x,x,x,x,7,x,x,x,x,0,0,0,9,0,0,0,0,17
E06000025,LA,803,South Gloucestershire,25,x,x,x,x,0,14,6,0,x,0,x,0,0,12,0,0,0,x,23
E06000001,LA,805,Hartlepool,10,0,x,x,x,0,x,0,x,0,x,0,0,0,8,0,0,0,0,10
E06000002,LA,806,Middlesbrough,15,0,0,x,x,x,7,x,0,x,0,x,0,0,x,0,0,x,0,14
E06000003,LA,807,Redcar and Cleveland,14,0,0,x,x,0,x,x,x,0,0,x,0,0,6,0,0,0,x,13
E06000004,LA,808,Stockton-on-Tees,21,x,x,x,x,0,10,x,x,0,x,x,0,0,9,0,0,0,x,20
E06000010,LA,810,"Kingston Upon Hull, City of",45,x,x,11,7,x,20,x,0,0,x,13,x,0,18,0,0,x,x,39
E06000011,LA,811,East Riding of Yorkshire,25,0,0,8,10,x,6,x,0,0,x,x,7,0,9,0,0,x,0,22
E06000012,LA,812,North East Lincolnshire,20,x,x,x,7,0,7,x,x,x,0,x,0,0,6,0,0,x,0,16
E06000013,LA,813,North Lincolnshire,11,0,0,0,6,0,x,x,0,0,0,x,0,0,x,0,0,x,0,9
E10000023,LA,815,North Yorkshire,48,x,x,19,11,x,12,6,x,6,x,x,x,x,15,0,0,0,x,45
E06000014,LA,816,York,19,0,x,6,7,x,x,x,0,x,x,8,0,0,x,0,0,x,0,19
E06000032,LA,821,Luton,30,x,x,7,8,x,7,x,x,0,x,x,0,0,15,0,0,x,x,28
E06000055,LA,822,Bedford,19,x,x,8,x,0,7,x,x,0,0,x,0,0,7,0,0,x,0,15
E06000056,LA,823,Central Bedfordshire,18,x,x,x,x,0,6,x,0,0,x,x,0,0,9,0,0,x,x,15
E10000002,LA,825,Buckinghamshire,44,x,x,8,12,x,13,x,0,8,x,x,11,x,11,0,0,x,0,39
E06000042,LA,826,Milton Keynes,32,x,x,9,x,x,12,x,x,0,x,x,x,0,11,0,0,x,6,26
E10000007,LA,830,Derbyshire,49,x,0,0,40,0,8,x,0,x,x,9,x,0,31,0,0,x,0,46
E06000015,LA,831,Derby,35,0,0,8,14,0,13,x,x,0,x,x,0,0,21,0,0,0,x,32
E10000009,LA,835,Dorset,32,x,x,12,x,x,7,x,x,x,0,x,0,x,10,x,x,x,x,23
E06000029,LA,836,Poole,10,0,0,x,x,x,x,x,0,x,0,x,0,0,x,0,0,0,0,10
E06000028,LA,837,Bournemouth,19,x,0,x,9,x,x,x,0,x,x,x,0,0,7,0,0,0,x,15
E06000047,LA,840,Durham,44,x,x,15,15,x,8,6,0,0,8,12,0,0,13,0,0,x,x,41
E06000005,LA,841,Darlington,10,0,0,0,8,0,x,x,0,0,x,0,0,x,6,0,0,0,0,10
E10000011,LA,845,East Sussex,36,x,x,13,8,x,10,x,6,x,x,x,0,x,10,0,x,0,x,33
E06000043,LA,846,Brighton and Hove,58,0,x,22,12,0,23,6,0,x,0,15,0,14,19,0,0,x,x,56
E10000014,LA,850,Hampshire,129,12,7,30,24,7,49,23,9,x,x,22,x,0,32,x,0,x,15,97
E06000044,LA,851,Portsmouth,31,x,0,12,7,0,10,x,x,x,8,x,0,x,x,0,0,0,x,29
E06000045,LA,852,Southampton,36,11,x,8,7,0,9,x,x,x,x,9,0,0,6,0,0,x,0,22
E10000018,LA,855,Leicestershire,51,x,x,19,9,x,14,6,x,x,x,x,0,0,25,0,x,x,x,47
E06000016,LA,856,Leicester,36,x,x,9,12,x,9,7,0,x,x,x,0,0,12,0,0,x,x,30
E06000017,LA,857,Rutland,x,0,0,x,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,x
E10000028,LA,860,Staffordshire,95,x,x,17,20,20,31,11,x,6,x,x,x,0,50,0,0,x,13,90
E06000021,LA,861,Stoke-on-Trent,29,x,x,x,6,x,12,x,0,x,x,x,x,0,14,0,0,0,x,25
E06000054,LA,865,Wiltshire,39,x,0,6,10,x,17,8,x,x,x,x,x,x,10,0,0,0,0,35
E06000030,LA,866,Swindon,30,x,8,9,x,x,7,x,x,x,x,x,x,x,6,0,x,0,x,29
E06000036,LA,867,Bracknell Forest,19,0,0,9,x,x,7,x,0,x,x,x,0,0,12,x,0,0,0,17
E06000040,LA,868,Windsor and Maidenhead,9,0,0,x,x,x,0,x,x,x,x,0,0,0,0,0,x,0,x,6
E06000037,LA,869,West Berkshire,18,x,x,6,x,x,7,0,0,x,x,x,0,x,6,0,0,0,x,14
E06000038,LA,870,Reading,18,x,x,0,8,x,x,x,0,0,x,x,0,0,10,0,0,0,x,15
E06000039,LA,871,Slough,15,x,0,8,x,x,x,0,0,x,x,x,0,0,7,0,0,0,x,11
E06000041,LA,872,Wokingham,9,x,0,x,x,0,x,x,0,0,x,0,0,0,x,0,0,0,0,8
E10000003,LA,873,Cambridgeshire,54,0,0,17,11,x,23,0,0,6,0,11,x,x,34,0,0,0,0,49
E06000031,LA,874,Peterborough,24,0,0,7,x,x,10,x,x,x,0,x,0,0,10,0,0,0,x,24
E06000006,LA,876,Halton,22,x,x,7,10,x,x,x,x,x,0,0,x,0,10,0,0,0,0,21
E06000007,LA,877,Warrington,27,0,x,9,x,x,9,x,x,x,0,0,0,0,17,x,0,x,0,26
E10000008,LA,878,Devon,70,7,x,17,15,6,24,x,10,x,13,6,0,0,24,0,0,x,x,59
E06000026,LA,879,Plymouth,33,0,x,12,10,0,9,x,x,x,0,x,0,x,17,0,0,0,x,31
E06000027,LA,880,Torbay,10,0,0,x,x,x,x,x,0,x,0,x,0,0,x,0,0,0,0,10
E10000012,LA,881,Essex,142,8,8,34,28,10,54,24,x,7,14,x,8,x,61,x,0,x,9,120
E06000033,LA,882,Southend-on-Sea,29,0,x,13,6,x,6,x,0,x,0,11,0,0,11,0,0,x,0,27
E06000034,LA,883,Thurrock,29,x,x,7,x,x,10,x,x,0,x,x,0,0,12,0,0,x,x,22
E06000019,LA,884,Herefordshire,19,x,x,x,x,0,8,x,0,0,x,x,0,0,6,0,0,0,x,15
E10000034,LA,885,Worcestershire,66,15,0,19,x,x,23,x,0,0,x,11,0,x,15,x,x,x,12,43
E10000016,LA,886,Kent,182,22,7,47,52,8,46,19,x,x,6,35,x,0,83,x,x,7,x,154
E06000035,LA,887,Medway,40,x,x,10,x,6,17,x,0,x,x,15,x,0,10,0,x,x,x,36
E10000017,LA,888,Lancashire,126,12,8,34,19,7,46,15,11,x,x,x,0,x,66,0,x,10,0,101
E06000008,LA,889,Blackburn with Darwen,26,0,x,10,x,x,9,7,0,0,x,x,0,0,10,0,0,x,x,26
E06000009,LA,890,Blackpool,24,x,x,x,x,x,12,0,0,0,0,x,0,x,15,0,0,x,x,19
E10000024,LA,891,Nottinghamshire,52,6,x,14,16,0,13,9,0,x,8,x,0,x,16,x,0,x,x,43
E06000018,LA,892,Nottingham,56,11,x,14,16,x,8,x,x,x,x,x,0,0,32,0,0,x,x,45
E06000051,LA,893,Shropshire,26,x,x,x,x,x,8,x,0,0,x,8,0,0,10,0,0,0,0,22
E06000020,LA,894,Telford and Wrekin,19,x,x,6,x,x,x,x,x,x,x,x,0,0,x,0,0,x,x,14
