New_geog_code,geog_l,geog_c,geog_n,CLA_cease,CLA_ceaAdop,CLA_Adop_PL12mnths
E06000046,LA,921,Isle of Wight,96,13,8
E10000019,LA,925,Lincolnshire,229,44,37
E10000020,LA,926,Norfolk,406,63,50
E10000021,LA,928,Northamptonshire,335,32,25
E06000048,LA,929,Northumberland,106,19,13
E10000025,LA,931,Oxfordshire,233,32,31
E10000027,LA,933,Somerset,301,38,32
E10000029,LA,935,Suffolk,284,62,52
E10000030,LA,936,Surrey,304,37,30
E10000031,LA,937,Warwickshire,294,31,25
E10000032,LA,938,West Sussex,368,51,37
