New_geog_code,geog_l,geog_c,geog_n,CLA_cease,CLA_cease16,CLA_ceamal,CLA_ceafe,CLA_cea1,CLA_cea14,CLA_cea59,CLA_cea1015,CLA_cea16,CLA_ceaAdop,CLA_ceaAdop2,CLA-ceaDied,CLA_ceataken,CLA_ceaPar,CLA_ceaROG,CLA_ceaSpecG,CLA_ceaSpecG2,CLA_ceaIndLiv,CLA_ceaIndLiv2,CLA_cea_tran_res,CLA_cea_sen_cust,CLA_cea_OthRea
E06000023,LA,801,"Bristol, City of",283,113,144,139,19,78,30,43,113,37,8,0,0,98,x,16,7,6,7,x,x,91
E06000024,LA,802,North Somerset,111,37,58,53,6,26,17,25,37,x,x,0,0,50,12,0,x,11,x,x,x,25
E06000025,LA,803,South Gloucestershire,102,45,53,49,9,14,11,23,45,6,0,0,x,57,x,x,0,28,x,x,x,x
E06000001,LA,805,Hartlepool,75,21,31,44,9,22,12,11,21,10,x,0,0,28,8,x,0,8,0,0,0,13
E06000002,LA,806,Middlesbrough,184,42,98,86,13,57,37,35,42,18,x,0,x,92,14,9,x,x,0,0,x,38
E06000003,LA,807,Redcar and Cleveland,61,14,27,34,x,15,13,14,14,7,x,0,0,19,x,0,x,x,0,x,0,22
E06000004,LA,808,Stockton-on-Tees,152,28,75,77,14,54,31,25,28,12,x,0,x,67,23,6,9,13,x,x,x,11
E06000010,LA,810,"Kingston Upon Hull, City of",208,63,108,100,7,68,35,35,63,x,52,x,x,70,9,11,x,15,7,0,x,37
E06000011,LA,811,East Riding of Yorkshire,139,36,76,63,x,49,19,30,36,x,20,0,0,52,25,x,0,15,7,x,x,11
E06000012,LA,812,North East Lincolnshire,49,17,28,21,x,18,x,8,17,0,11,0,0,12,0,0,x,x,x,x,x,18
E06000013,LA,813,North Lincolnshire,72,19,42,30,x,29,8,15,19,12,x,0,x,26,6,x,10,9,x,x,x,x
E10000023,LA,815,North Yorkshire,163,68,74,89,x,39,21,30,68,10,11,x,x,51,11,9,x,32,x,x,x,25
E06000014,LA,816,York,87,34,39,48,x,22,8,18,34,8,x,0,0,32,6,x,x,15,x,x,0,8
E06000032,LA,821,Luton,160,67,79,81,12,31,19,31,67,6,x,0,0,92,x,x,x,14,7,x,x,26
E06000055,LA,822,Bedford,73,26,36,37,8,15,x,20,26,8,0,0,0,35,x,0,x,7,x,x,x,15
E06000056,LA,823,Central Bedfordshire,88,40,41,47,x,12,8,25,40,x,x,0,0,26,x,11,0,9,x,x,0,31
E10000002,LA,825,Buckinghamshire,143,52,81,61,6,42,24,18,52,17,x,0,0,42,x,15,x,x,x,14,x,37
E06000042,LA,826,Milton Keynes,126,45,72,54,7,26,16,32,45,8,x,0,0,44,x,8,0,12,x,x,x,37
E10000007,LA,830,Derbyshire,248,89,144,104,17,63,38,41,89,44,8,0,x,89,14,x,x,9,11,0,7,58
E06000015,LA,831,Derby,178,57,93,85,22,41,31,27,57,16,24,0,x,55,8,6,6,13,x,13,8,26
E10000009,LA,835,Dorset,120,46,67,53,8,30,13,23,46,10,x,0,0,58,x,x,x,12,x,x,0,21
E06000029,LA,836,Poole,56,12,32,24,x,16,6,19,12,x,x,0,x,30,x,x,x,9,x,x,x,x
E06000028,LA,837,Bournemouth,95,32,43,52,6,36,11,10,32,12,x,0,x,45,x,x,x,9,x,0,x,17
E06000047,LA,840,Durham,247,59,127,120,24,75,35,54,59,23,12,0,x,120,x,8,13,14,10,6,x,34
E06000005,LA,841,Darlington,109,19,59,50,x,42,21,24,19,10,6,0,x,60,x,10,x,8,0,0,0,10
E10000011,LA,845,East Sussex,191,66,100,91,18,59,31,17,66,9,9,x,0,72,0,10,32,15,6,0,x,36
E06000043,LA,846,Brighton and Hove,215,77,116,99,12,61,28,37,77,8,18,x,x,94,0,13,7,x,0,6,x,58
E10000014,LA,850,Hampshire,464,153,229,235,22,112,56,121,153,20,30,x,x,201,14,23,8,49,9,23,9,73
E06000044,LA,851,Portsmouth,131,43,72,59,10,28,19,31,43,7,9,0,0,41,9,11,x,24,x,x,x,18
E06000045,LA,852,Southampton,152,35,85,67,7,57,25,28,35,15,x,0,x,65,8,8,11,x,x,0,x,33
E10000018,LA,855,Leicestershire,175,73,93,82,7,45,16,34,73,10,10,0,x,49,x,16,8,10,32,x,x,26
E06000016,LA,856,Leicester,191,64,85,106,7,51,20,49,64,14,8,0,x,70,12,9,x,x,x,0,x,63
E06000017,LA,857,Rutland,17,7,9,8,0,x,x,x,7,x,x,0,x,x,0,x,0,6,0,x,0,x
E10000028,LA,860,Staffordshire,259,84,140,119,14,86,29,46,84,31,12,0,x,85,9,24,6,x,26,x,x,51
E06000021,LA,861,Stoke-on-Trent,168,60,81,87,11,49,15,33,60,x,29,0,x,54,6,25,0,13,x,x,x,31
E06000054,LA,865,Wiltshire,152,48,80,72,10,42,27,25,48,x,15,x,0,60,x,x,x,10,0,0,x,53
E06000030,LA,866,Swindon,88,48,44,44,0,15,13,12,48,x,6,0,0,30,0,0,x,x,0,0,x,39
E06000036,LA,867,Bracknell Forest,40,24,20,20,x,x,x,7,24,x,x,0,0,15,x,x,x,6,x,x,0,7
E06000040,LA,868,Windsor and Maidenhead,53,14,24,29,x,14,8,16,14,0,6,0,x,12,x,12,x,x,0,x,0,6
E06000037,LA,869,West Berkshire,59,31,42,17,x,8,x,14,31,0,x,0,0,20,0,x,x,x,0,x,0,28
E06000038,LA,870,Reading,96,22,45,51,x,38,15,17,22,10,8,x,x,34,8,10,x,0,0,x,0,20
E06000039,LA,871,Slough,94,19,51,43,x,28,20,24,19,9,7,0,x,40,x,8,10,8,0,x,x,7
E06000041,LA,872,Wokingham,36,17,20,16,x,6,x,8,17,x,x,0,0,10,0,x,0,x,0,x,0,13
E10000003,LA,873,Cambridgeshire,169,91,89,80,x,37,16,22,91,31,0,0,x,35,x,x,x,6,x,0,x,85
E06000031,LA,874,Peterborough,129,48,64,65,x,29,20,27,48,11,0,0,0,68,0,0,0,0,x,x,x,45
E06000006,LA,876,Halton,66,25,35,31,x,19,9,9,25,x,7,0,x,26,x,x,x,10,6,0,0,x
E06000007,LA,877,Warrington,126,30,64,62,11,37,15,33,30,x,9,0,x,14,x,x,x,0,0,0,0,86
E10000008,LA,878,Devon,342,166,185,157,16,59,36,65,166,9,8,0,x,153,x,7,8,63,36,22,x,30
E06000026,LA,879,Plymouth,159,75,89,69,11,43,17,12,75,8,21,0,x,44,x,6,x,32,18,x,x,14
E06000027,LA,880,Torbay,109,44,54,54,8,19,12,25,44,x,x,0,0,55,10,x,0,19,13,x,0,x
E10000012,LA,881,Essex,683,256,354,329,34,185,95,113,256,34,60,x,x,231,25,65,25,132,51,21,7,29
E06000033,LA,882,Southend-on-Sea,109,32,58,51,x,36,19,17,32,18,9,0,x,28,x,13,x,23,x,x,x,x
