New_geog_code,geog_l,geog_c,geog_n,CLA_started2012,CLA_taken2012,SCLA_male,SCLA_female,SCLA_U1,SCLA_1to4,SCLA_5to9,SCLA_10to15,SCLA_16over,SCLA_AbNeg,SCLA_Cdisab,SCLA_ParIll,SCLA_FAcSt,SCLA_FD,SCLA_SUB,SCLA_LI,SCLA_AbsPar,SCLA_ICO,SCLA_FCO,SCLA_POG,SCLA_S20,SCLA_UPP,SCLA_SEPO,SCLA_UCAO,SCLA_ONCT,SCLA_PACE,SCLA_SORR
E08000003,LA,352,Manchester,414,160,216,198,70,106,83,116,39,244,12,33,43,49,14,x,18,81,x,0,253,70,8,0,x,0,0
E08000004,LA,353,Oldham,125,68,58,67,29,29,25,38,x,99,x,x,x,14,x,0,0,32,x,0,57,30,x,0,0,0,0
E08000005,LA,354,Rochdale,138,76,69,69,30,34,35,36,x,99,x,6,15,13,x,0,x,35,0,0,61,31,10,0,x,0,0
E08000006,LA,355,Salford,175,58,97,78,47,41,29,50,8,107,x,x,8,49,0,0,6,39,x,x,114,11,6,0,x,0,0
E08000007,LA,356,Stockport,122,59,69,53,30,24,19,35,14,59,7,13,8,29,x,0,x,31,0,0,63,25,x,0,0,0,0
E08000008,LA,357,Tameside,152,61,90,62,36,39,16,52,9,101,x,0,12,30,x,0,x,30,x,0,90,24,6,0,x,0,0
E08000009,LA,358,Trafford,116,38,64,52,18,25,18,39,16,49,x,x,34,17,10,0,x,19,0,0,78,13,6,0,0,0,0
E08000010,LA,359,Wigan,158,60,93,65,40,48,22,39,9,112,x,0,26,13,x,0,x,40,x,0,98,12,6,0,0,0,0
E08000016,LA,370,Barnsley,111,55,59,53,35,27,19,14,15,67,x,x,7,14,x,0,11,42,x,x,53,8,x,0,x,0,0
E08000017,LA,371,Doncaster,258,101,143,115,46,61,48,79,24,130,16,14,15,60,13,0,10,76,0,0,156,15,10,0,x,0,0
E08000018,LA,372,Rotherham,143,68,73,70,35,37,27,37,7,92,x,7,6,29,x,0,x,58,0,0,71,9,x,0,x,0,0
E08000019,LA,373,Sheffield,265,132,134,131,66,58,43,73,25,99,x,x,39,87,11,x,19,101,0,x,117,23,8,0,15,0,0
E08000032,LA,380,Bradford,308,122,171,137,86,67,68,68,19,260,x,x,18,13,x,0,x,52,x,0,181,35,34,0,x,0,0
E08000033,LA,381,Calderdale,133,43,68,65,30,30,25,42,6,103,x,x,x,19,x,0,0,31,0,0,88,9,x,0,x,0,0
E08000034,LA,382,Kirklees,249,96,128,121,82,36,44,67,20,213,x,7,6,13,x,0,x,85,x,0,153,8,x,0,0,0,0
E08000035,LA,383,Leeds,425,231,222,203,163,97,72,77,16,361,x,8,10,16,x,x,20,125,x,0,190,79,26,0,x,0,0
E08000036,LA,384,Wakefield,171,86,88,83,40,53,28,45,x,110,17,6,8,19,6,0,x,52,0,0,85,24,10,0,0,0,0
E08000020,LA,390,Gateshead,164,39,84,80,32,40,28,56,8,92,x,x,16,40,x,x,8,23,0,0,124,14,x,0,x,0,0
E08000021,LA,391,Newcastle upon Tyne,203,61,107,96,37,53,29,73,11,126,x,x,29,26,6,0,10,28,x,0,141,31,0,0,x,0,0
E08000022,LA,392,North Tyneside,137,31,78,59,24,36,28,37,12,72,x,0,27,27,x,0,6,16,0,0,105,15,0,0,0,0,x
E08000023,LA,393,South Tyneside,110,58,58,52,41,19,25,18,7,97,x,x,x,0,x,0,x,53,0,0,51,x,x,0,x,0,0
E08000024,LA,394,Sunderland,145,42,58,87,36,32,26,43,8,32,x,0,6,103,0,0,0,36,x,0,102,x,x,0,x,0,0
E06000022,LA,800,Bath and North East Somerset,86,20,47,39,17,14,17,24,14,26,x,x,18,31,x,0,x,8,x,x,65,10,x,0,0,0,0
E06000023,LA,801,"Bristol, City of",272,111,143,129,50,63,34,75,50,168,10,13,15,52,8,x,x,69,x,x,155,32,7,0,x,0,0
E06000024,LA,802,North Somerset,113,17,61,52,14,26,16,45,12,44,x,6,48,11,x,0,x,x,0,0,96,8,x,0,0,0,0
E06000025,LA,803,South Gloucestershire,101,28,55,46,16,19,11,34,21,49,x,x,15,14,x,0,15,23,0,0,73,x,x,0,0,0,0
E06000001,LA,805,Hartlepool,84,15,34,50,20,20,12,28,x,47,x,7,9,16,x,0,x,15,0,0,69,0,0,0,0,0,0
E06000002,LA,806,Middlesbrough,197,46,97,100,40,52,54,43,8,97,x,0,29,65,x,0,x,22,0,0,150,17,7,0,x,0,0
E06000003,LA,807,Redcar and Cleveland,82,41,44,38,23,16,12,30,x,23,x,x,27,24,x,0,x,24,x,0,41,10,6,0,0,0,0
E06000004,LA,808,Stockton-on-Tees,196,42,90,106,47,64,39,38,8,132,x,7,18,23,10,0,x,16,x,x,152,20,x,0,x,0,0
E06000010,LA,810,"Kingston Upon Hull, City of",192,66,103,89,52,48,34,52,6,139,x,6,7,24,x,0,8,44,x,0,125,18,x,0,x,0,0
E06000011,LA,811,East Riding of Yorkshire,147,44,71,76,30,32,23,54,8,92,x,0,11,38,x,0,x,23,x,0,102,15,x,0,x,0,0
E06000012,LA,812,North East Lincolnshire,58,25,38,20,19,13,8,16,x,45,x,x,x,x,x,0,0,22,0,0,28,0,x,0,x,0,0
E06000013,LA,813,North Lincolnshire,77,27,45,32,18,23,13,19,x,42,x,x,x,20,6,0,x,22,0,0,43,x,0,0,7,0,0
E10000023,LA,815,North Yorkshire,178,58,103,75,39,34,25,62,18,102,24,x,19,22,x,0,x,45,x,0,115,11,x,0,x,0,0
E06000014,LA,816,York,102,49,53,49,15,27,20,29,11,64,6,x,12,13,x,0,x,34,0,0,53,9,6,0,0,0,0
E06000032,LA,821,Luton,149,49,72,77,35,26,24,52,12,96,6,10,8,18,x,0,8,35,x,0,99,7,6,0,x,0,0
E06000055,LA,822,Bedford,120,41,63,57,28,26,29,27,10,87,x,0,9,11,x,0,x,26,0,0,77,7,8,0,x,0,0
E06000056,LA,823,Central Bedfordshire,111,39,55,56,19,27,18,36,11,84,x,x,x,8,x,0,8,33,0,0,72,x,x,0,0,0,0
E10000002,LA,825,Buckinghamshire,126,51,70,55,28,23,29,38,7,55,x,x,x,48,x,0,6,34,x,0,73,13,x,0,x,0,0
