New_geog_code,geog_l,geog_c,geog_n,CLA_cease,CLA_ceamal,CLA_ceafe,CLA_cea1,CLA_cea14,CLA_cea59,CLA_cea1015,CLA_cea16,CLA_cea17,CLA_cea18,CLA_ceaAdop1,CLA_ceaAdop2,CLA_ceaDied,CLA_ceataken,CLA_ceaParPlan,CLA_ceaParNPlan,CLA_ceaNoPar,CLA_ceaROG,CLA_ceaSpecG1,CLA_ceaSpecG2,CLA_ceaIndLiv1,CLA_ceaIndLiv2,CLA_cea_tran_res,CLA_cea_sen_cust,CLA_ceaRemEnd,CLA_ceaAgeAssmt,CLA_ceaAbroad,CLA_cea_OthRea
E08000034,LA,382,Kirklees,230,118,112,30,55,43,31,x,x,53,13,29,x,x,71,6,x,14,21,17,41,6,x,x,0,x,0,x
E08000035,LA,383,Leeds,391,198,193,36,138,63,47,x,x,93,76,28,x,x,66,13,22,x,40,16,25,10,8,x,x,x,0,74
E08000036,LA,384,Wakefield,186,93,93,17,63,32,18,x,x,46,32,18,x,x,38,x,x,6,22,x,21,0,0,x,0,0,0,38
E08000020,LA,390,Gateshead,210,114,96,19,68,43,31,8,9,32,18,8,0,x,107,0,0,27,9,x,28,0,x,0,x,0,0,x
E08000021,LA,391,Newcastle upon Tyne,247,144,103,16,60,41,40,x,77,x,29,0,x,x,90,x,9,7,24,x,31,x,x,9,0,0,0,31
E08000022,LA,392,North Tyneside,176,108,68,17,55,29,28,7,7,33,16,9,0,0,81,x,0,x,18,9,23,7,6,x,0,0,0,0
E08000023,LA,393,South Tyneside,132,82,50,8,45,21,22,x,x,25,13,6,x,0,28,x,14,15,x,17,14,8,x,0,0,0,0,9
E08000024,LA,394,Sunderland,269,145,124,27,78,56,41,18,13,36,0,37,0,0,112,10,13,31,25,x,21,x,x,x,x,x,0,7
E06000022,LA,800,Bath and North East Somerset,49,28,21,x,8,6,7,x,x,17,x,0,0,0,11,x,x,0,x,x,13,x,x,0,0,0,0,x
E06000023,LA,801,"Bristol, City of",381,194,187,37,91,38,63,22,22,108,20,26,0,0,46,53,21,21,23,29,36,x,6,8,x,x,0,83
E06000024,LA,802,North Somerset,124,51,73,8,29,27,23,x,x,28,11,x,0,x,43,x,0,x,11,x,x,x,0,x,0,0,0,36
E06000025,LA,803,South Gloucestershire,101,51,50,10,18,x,18,x,15,29,9,0,0,0,17,9,8,x,6,8,34,x,0,x,x,0,0,x
E06000001,LA,805,Hartlepool,63,35,28,6,12,11,12,x,x,15,x,x,0,0,9,6,15,x,x,0,x,x,x,0,x,x,0,8
E06000002,LA,806,Middlesbrough,161,75,86,18,46,26,30,6,6,29,8,8,0,0,43,6,x,30,6,14,0,x,x,x,0,0,0,38
E06000003,LA,807,Redcar and Cleveland,84,44,40,14,23,14,16,x,x,11,x,x,0,0,20,8,9,14,x,x,6,x,0,0,x,x,0,9
E06000004,LA,808,Stockton-on-Tees,139,71,68,11,38,19,21,7,6,37,12,7,0,0,39,16,6,7,9,x,6,0,0,x,0,0,0,30
E06000010,LA,810,"Kingston Upon Hull, City of",267,136,131,20,79,40,52,12,8,56,x,22,0,x,77,29,31,12,52,0,14,15,0,x,0,x,x,6
E06000011,LA,811,East Riding of Yorkshire,109,55,54,x,24,18,22,11,x,26,x,23,x,x,32,9,0,x,6,x,22,0,x,x,0,0,0,6
E06000012,LA,812,North East Lincolnshire,178,90,88,26,66,40,26,x,x,13,x,33,0,0,43,14,9,44,15,6,x,x,0,x,x,0,0,x
E06000013,LA,813,North Lincolnshire,70,36,34,9,9,12,12,x,x,20,8,x,0,0,21,x,8,x,x,0,18,0,x,x,x,0,0,0
E10000023,LA,815,North Yorkshire,200,111,89,18,56,23,31,13,10,49,x,29,0,x,41,8,13,18,16,14,11,x,9,x,x,0,0,26
E06000014,LA,816,York,80,37,43,x,23,9,17,x,x,17,x,0,x,0,17,x,10,0,6,6,x,x,x,0,0,x,0,23
E06000032,LA,821,Luton,175,90,85,15,52,32,19,13,9,35,17,x,0,x,52,8,0,x,13,17,0,0,x,x,0,x,0,59
E06000055,LA,822,Bedford,123,63,60,11,36,22,19,x,x,24,11,x,0,x,45,10,7,6,x,6,x,0,x,x,0,0,0,22
E06000056,LA,823,Central Bedfordshire,96,58,38,8,26,8,12,x,x,34,x,13,0,0,18,x,0,0,8,x,x,0,0,x,0,x,0,42
E10000002,LA,825,Buckinghamshire,226,114,112,19,57,37,41,6,11,55,27,10,x,x,70,7,x,6,x,18,x,0,8,x,0,0,0,72
E06000042,LA,826,Milton Keynes,189,108,81,14,41,37,30,7,16,44,13,9,0,0,61,19,13,6,7,12,39,x,x,x,0,x,0,x
E10000007,LA,830,Derbyshire,302,150,152,29,79,62,34,11,7,80,51,8,x,x,76,6,23,21,x,22,22,8,8,x,x,10,0,41
E06000015,LA,831,Derby,176,97,79,19,52,22,31,7,8,37,8,18,0,x,62,0,0,9,14,7,25,x,x,7,0,0,0,17
E10000009,LA,835,Dorset,196,104,92,19,35,25,44,6,8,59,x,6,x,0,56,20,x,x,8,15,20,10,x,0,0,8,0,38
E06000029,LA,836,Poole,83,46,37,x,26,x,22,x,0,15,x,6,0,0,14,13,x,6,10,x,x,x,0,x,0,7,0,10
E06000028,LA,837,Bournemouth,119,61,58,13,33,21,18,x,x,23,26,0,0,0,30,x,15,x,7,6,14,0,x,x,0,0,x,11
E06000047,LA,840,Durham,252,133,119,45,78,42,30,10,11,36,16,12,0,x,97,6,x,13,32,18,20,x,x,0,0,0,0,27
E06000005,LA,841,Darlington,86,40,46,10,28,12,12,x,x,16,9,x,x,x,22,x,x,6,x,7,7,x,0,0,0,x,0,26
E10000011,LA,845,East Sussex,190,110,80,18,62,32,14,8,7,49,13,32,0,0,55,x,x,x,14,x,x,x,6,x,x,0,x,36
E06000043,LA,846,Brighton and Hove,247,131,116,27,55,40,38,13,15,59,32,7,x,x,68,15,x,x,33,8,x,0,x,x,x,x,x,64
E10000014,LA,850,Hampshire,542,298,244,38,135,77,94,36,20,142,20,64,x,0,197,39,67,7,26,17,62,15,12,x,x,x,x,x
E06000044,LA,851,Portsmouth,126,73,53,16,41,12,24,x,x,24,18,9,x,x,24,x,6,15,x,10,6,x,x,x,0,x,0,23
E06000045,LA,852,Southampton,205,122,83,13,66,48,31,8,8,31,6,57,x,0,45,11,x,x,7,23,x,x,0,0,x,0,0,43
E10000018,LA,855,Leicestershire,256,144,112,19,72,34,48,8,17,58,21,25,0,0,33,14,22,x,36,14,25,25,x,x,x,x,x,31
E06000016,LA,856,Leicester,175,99,76,8,50,23,21,9,8,56,35,7,0,x,26,0,0,x,13,8,41,x,x,x,0,0,0,32
E06000017,LA,857,Rutland,17,11,6,x,7,x,x,x,x,0,0,8,0,0,x,0,0,0,0,x,x,0,0,0,0,0,0,0
E10000028,LA,860,Staffordshire,332,174,158,31,89,44,50,14,16,88,44,30,x,x,51,21,9,8,46,19,23,23,6,0,0,x,0,44
E06000021,LA,861,Stoke-on-Trent,231,128,103,14,81,38,31,6,8,53,45,7,0,x,78,8,x,0,25,x,x,0,0,x,0,0,0,59
E06000054,LA,865,Wiltshire,161,86,75,25,46,19,17,x,x,44,x,17,0,x,38,6,0,x,18,9,x,0,x,0,0,x,0,59
E06000030,LA,866,Swindon,138,74,64,7,28,24,29,8,9,33,6,0,x,0,27,35,0,x,x,10,x,x,x,x,0,x,0,39
E06000036,LA,867,Bracknell Forest,68,34,34,x,16,15,14,x,x,12,x,x,0,0,21,13,x,x,7,x,9,x,0,0,0,0,0,0
E06000040,LA,868,Windsor and Maidenhead,43,25,18,x,8,8,x,x,x,16,x,x,0,0,11,x,0,x,x,x,7,0,x,0,x,0,0,6
E06000037,LA,869,West Berkshire,68,37,31,7,15,12,11,x,x,14,6,x,0,0,9,7,9,9,7,x,x,x,8,0,0,x,0,0
E06000038,LA,870,Reading,123,62,61,9,27,28,22,x,x,29,16,9,0,x,16,x,11,8,14,8,10,x,x,x,0,0,0,21
E06000039,LA,871,Slough,140,65,75,6,34,28,34,6,11,21,13,x,0,0,32,7,10,9,9,13,0,x,x,x,x,0,0,33
E06000041,LA,872,Wokingham,34,20,14,x,6,x,6,x,x,8,0,x,0,0,15,x,0,0,0,x,x,0,x,0,0,x,0,x
E10000003,LA,873,Cambridgeshire,271,150,121,22,55,37,54,33,15,55,33,x,x,x,51,29,19,24,10,13,26,11,8,0,0,12,x,27
E06000031,LA,874,Peterborough,186,99,87,14,51,19,38,13,6,45,18,13,0,7,25,x,23,x,13,11,35,x,x,x,0,7,x,17
E06000006,LA,876,Halton,71,33,38,x,26,16,9,x,x,11,x,12,0,x,6,x,x,x,x,18,x,0,0,x,0,x,0,12
E06000007,LA,877,Warrington,131,62,69,8,31,23,29,x,x,29,0,17,0,x,31,7,x,8,16,15,x,x,x,x,0,0,0,17
E10000008,LA,878,Devon,396,222,174,43,92,51,75,15,12,108,15,27,x,0,126,24,15,6,34,18,9,x,18,x,0,x,x,95
E06000026,LA,879,Plymouth,189,99,90,19,41,20,28,7,17,57,20,13,0,0,40,16,7,6,9,x,7,x,x,0,0,0,x,56
E06000027,LA,880,Torbay,125,57,68,13,40,22,14,x,x,25,20,8,0,x,44,6,0,6,x,7,14,x,x,x,0,0,0,10
E10000012,LA,881,Essex,449,258,191,24,77,37,49,40,30,192,51,23,0,0,33,16,56,6,10,14,160,21,12,x,x,27,x,10
E06000033,LA,882,Southend-on-Sea,107,58,49,13,40,9,13,x,x,25,15,10,x,0,18,x,x,9,9,11,20,0,x,6,0,0,0,x
E06000034,LA,883,Thurrock,144,90,54,8,33,11,22,7,16,47,6,13,x,0,29,x,0,x,7,7,27,9,x,x,0,0,0,33
E06000019,LA,884,Herefordshire,100,54,46,10,32,11,11,x,x,23,21,8,0,0,21,x,7,6,x,x,14,x,0,x,0,x,0,8
E10000034,LA,885,Worcestershire,236,126,110,24,60,23,28,10,16,75,26,18,x,x,33,20,12,13,13,11,18,11,x,x,x,0,0,49
E10000016,LA,886,Kent,1078,727,351,63,136,91,141,95,156,396,66,42,0,83,166,43,116,8,11,35,334,49,16,x,9,11,x,82
