New_geog_code,geog_l,geog_c,geog_n,CLA_started2016,CLA_taken2016,SCLA_male,SCLA_female,SCLA_U1,SCLA_1to4,SCLA_5to9,SCLA_10to15,SCLA_16over,SCLA_AbNeg,SCLA_Cdisab,SCLA_ParIll,SCLA_FAcSt,SCLA_FD,SCLA_SUB,SCLA_LI,SCLA_AbsPar,SCLA_ICO,SCLA_FCO,SCLA_POG,SCLA_S20,SCLA_UPP,SCLA_SEPO,SCLA_UCAO,SCLA_ONCT,SCLA_PACE,SCLA_SORR
E08000028,LA,333,Sandwell,193,x,97,96,40,39,33,51,30,110,x,x,14,25,x,0,33,40,x,0,114,x,x,0,x,0,0
E08000029,LA,334,Solihull,152,x,97,55,26,22,22,64,18,41,x,22,34,x,x,x,42,x,0,0,131,0,0,0,x,0,0
E08000030,LA,335,Walsall,179,91,92,87,41,53,33,37,15,105,x,13,12,29,10,0,x,52,0,0,x,39,0,0,x,0,x
E08000031,LA,336,Wolverhampton,132,x,80,52,32,24,24,41,11,91,x,x,17,12,x,0,x,30,x,0,79,x,0,0,x,x,0
E08000011,LA,340,Knowsley,95,47,44,51,16,14,22,33,10,51,0,x,22,15,x,0,x,41,x,0,x,x,0,0,x,0,0
E08000012,LA,341,Liverpool,443,x,245,198,97,89,94,122,41,279,12,x,32,78,x,x,33,148,x,0,262,x,x,0,x,0,x
E08000013,LA,342,St. Helens,148,78,85,63,26,36,36,33,17,130,x,0,x,6,x,0,x,59,x,0,x,x,0,0,x,0,0
E08000014,LA,343,Sefton,140,71,81,59,34,33,21,43,9,38,x,x,10,81,x,0,x,61,0,0,x,x,x,0,x,0,0
E08000015,LA,344,Wirral,194,113,100,94,35,52,38,63,6,145,x,x,8,30,x,0,0,x,x,0,81,x,0,0,0,0,0
E08000001,LA,350,Bolton,162,104,92,70,48,33,38,33,10,110,x,x,6,20,7,0,10,70,0,0,x,x,x,0,x,0,0
E08000002,LA,351,Bury,110,x,67,43,16,36,22,24,12,86,x,0,11,x,6,0,x,37,0,0,65,x,x,0,x,0,0
E08000003,LA,352,Manchester,416,172,227,189,87,76,73,112,68,207,12,24,38,59,32,8,36,120,x,x,221,36,9,x,17,x,0
E08000004,LA,353,Oldham,189,106,97,92,41,43,39,53,13,128,x,x,11,44,0,0,x,61,0,0,73,39,x,x,10,0,0
E08000005,LA,354,Rochdale,154,78,88,66,39,41,34,26,14,117,x,x,9,15,7,0,x,52,6,0,67,13,7,0,9,0,0
E08000006,LA,355,Salford,188,100,98,90,34,32,39,56,27,134,x,x,8,25,x,0,14,73,x,0,x,20,x,0,x,0,0
E08000007,LA,356,Stockport,144,x,73,71,24,31,35,36,18,63,x,x,8,63,x,0,x,40,0,0,77,x,x,0,x,0,0
E08000008,LA,357,Tameside,126,x,65,61,30,25,27,26,18,101,x,x,7,x,x,0,x,29,x,0,78,11,x,0,x,0,0
E08000009,LA,358,Trafford,98,x,56,42,11,13,21,36,17,41,x,x,24,18,9,0,x,27,0,0,60,x,x,0,x,x,0
E08000010,LA,359,Wigan,158,86,81,77,49,37,27,35,10,129,x,x,6,12,x,0,x,66,0,0,x,20,0,0,x,0,0
E08000016,LA,370,Barnsley,170,104,86,84,46,44,35,34,11,131,x,x,x,20,x,0,6,93,x,0,x,x,0,0,x,0,0
E08000017,LA,371,Doncaster,185,71,100,85,34,35,34,48,34,141,x,x,13,20,x,0,x,54,0,x,108,x,x,0,x,0,0
E08000018,LA,372,Rotherham,212,x,102,110,53,44,40,53,22,147,x,x,26,20,x,0,8,78,x,0,111,11,x,0,x,x,x
E08000019,LA,373,Sheffield,257,108,152,105,54,50,33,78,42,140,x,x,25,50,10,0,24,81,x,x,142,x,x,x,x,x,0
E08000032,LA,380,Bradford,302,198,155,147,63,61,65,91,22,255,8,x,13,17,x,0,x,x,0,0,97,112,x,0,x,x,0
E08000033,LA,381,Calderdale,85,47,50,35,22,17,14,22,10,56,x,x,x,11,x,0,11,30,0,0,x,17,0,0,x,0,0
E08000034,LA,382,Kirklees,258,124,140,118,66,47,42,67,36,174,x,x,19,32,7,0,15,106,x,0,127,11,x,0,7,0,0
E08000035,LA,383,Leeds,362,189,201,161,98,70,59,103,32,258,x,11,13,26,21,x,26,98,x,0,162,x,x,0,x,x,0
E08000036,LA,384,Wakefield,166,90,97,69,51,27,21,35,32,33,x,x,10,90,12,x,11,78,0,0,x,x,x,0,x,0,0
E08000020,LA,390,Gateshead,204,59,119,85,41,49,52,50,12,158,x,x,8,19,x,0,10,21,x,x,139,32,x,0,x,0,0
E08000021,LA,391,Newcastle upon Tyne,239,72,129,110,48,48,45,71,27,152,x,x,16,23,25,x,16,17,6,0,155,49,0,0,x,x,0
E08000022,LA,392,North Tyneside,159,x,94,65,27,45,22,47,18,84,x,x,25,39,0,0,x,22,0,0,122,x,0,0,x,0,0
E08000023,LA,393,South Tyneside,126,34,79,47,36,24,17,40,9,70,x,x,19,28,x,0,x,34,0,0,92,0,0,0,0,0,0
E08000024,LA,394,Sunderland,240,x,125,115,69,66,53,42,10,170,x,x,41,23,x,0,x,28,x,0,195,x,x,0,x,0,0
E06000022,LA,800,Bath and North East Somerset,64,19,33,31,17,7,9,20,11,22,x,x,14,18,x,0,x,x,0,0,45,x,x,0,0,0,0
E06000023,LA,801,"Bristol, City of",345,110,170,175,62,54,53,99,77,216,x,x,44,43,12,0,18,65,x,x,222,34,x,0,x,0,0
E06000024,LA,802,North Somerset,112,x,46,66,18,27,22,31,14,50,x,x,22,23,0,0,11,14,0,0,70,17,x,0,x,0,0
E06000025,LA,803,South Gloucestershire,92,x,45,47,14,11,10,37,20,47,10,x,x,13,x,0,9,x,x,0,68,11,0,0,x,0,0
E06000001,LA,805,Hartlepool,106,x,53,53,15,20,29,34,8,62,x,0,13,23,x,0,x,x,x,0,79,0,0,0,x,0,0
E06000002,LA,806,Middlesbrough,182,x,95,87,44,42,41,36,19,79,x,0,11,85,x,0,x,48,x,0,120,x,0,0,x,0,0
E06000003,LA,807,Redcar and Cleveland,94,x,52,42,x,21,18,34,x,38,x,x,15,34,0,0,x,19,x,0,61,x,x,0,x,0,0
E06000004,LA,808,Stockton-on-Tees,138,26,69,69,31,31,21,30,25,81,x,x,15,27,9,0,x,15,x,0,105,x,x,0,7,0,0
E06000010,LA,810,"Kingston Upon Hull, City of",244,x,127,117,51,62,44,62,25,139,10,x,22,56,x,0,10,39,x,0,181,x,x,0,x,0,0
E06000011,LA,811,East Riding of Yorkshire,78,x,43,35,13,13,13,25,14,33,0,x,x,33,x,0,x,11,0,0,58,x,0,0,x,0,0
E06000012,LA,812,North East Lincolnshire,205,x,107,98,34,47,50,63,11,132,x,16,x,23,10,0,13,44,x,0,130,18,x,0,x,0,0
E06000013,LA,813,North Lincolnshire,88,x,49,39,25,15,18,24,6,55,x,x,6,17,x,0,x,x,0,0,46,x,0,0,x,0,0
E10000023,LA,815,North Yorkshire,162,78,93,69,38,34,17,52,21,113,x,x,27,10,0,0,x,72,x,0,78,x,x,0,6,0,0
E06000014,LA,816,York,77,x,32,45,15,17,14,22,9,53,0,x,10,x,x,0,x,x,x,0,44,0,x,0,x,0,0
E06000032,LA,821,Luton,150,x,93,57,28,25,24,45,28,79,9,x,8,30,x,0,15,26,x,0,103,x,x,0,x,x,0
E06000055,LA,822,Bedford,121,x,57,64,27,31,18,21,24,73,x,x,x,15,x,0,18,30,0,0,75,x,x,0,x,0,0
E06000056,LA,823,Central Bedfordshire,111,x,66,45,22,17,11,31,30,63,x,0,x,x,x,0,36,x,x,0,65,0,x,0,x,0,0
E10000002,LA,825,Buckinghamshire,247,x,139,108,45,56,51,66,29,128,6,x,44,54,x,0,8,63,x,0,131,39,x,0,x,0,0
E06000042,LA,826,Milton Keynes,183,59,104,79,22,34,28,64,35,58,29,21,31,10,x,x,25,26,0,0,118,21,12,0,6,0,0
E10000007,LA,830,Derbyshire,265,x,153,112,63,43,49,71,39,147,11,13,23,32,9,0,30,x,0,0,206,x,x,0,x,0,0
E06000015,LA,831,Derby,154,66,82,72,37,32,25,38,22,107,11,12,x,x,7,x,10,42,x,0,76,x,x,0,12,0,0
E10000009,LA,835,Dorset,286,x,147,139,58,48,65,79,36,163,x,x,38,58,x,0,16,46,x,x,189,33,x,0,0,0,0
E06000029,LA,836,Poole,89,x,52,37,17,14,18,30,10,20,x,x,14,45,x,0,0,16,x,0,53,x,9,0,x,0,0
E06000028,LA,837,Bournemouth,115,46,59,56,30,23,22,34,6,25,0,0,x,74,x,0,x,24,x,x,63,16,x,0,x,0,0
E06000047,LA,840,Durham,307,72,161,146,75,76,70,71,15,229,x,x,20,27,11,0,10,47,x,x,229,19,x,0,x,0,0
E06000005,LA,841,Darlington,89,x,49,40,23,23,16,18,9,67,x,0,x,10,x,0,x,x,0,0,70,x,x,0,x,0,0
E10000011,LA,845,East Sussex,183,91,95,88,48,36,39,43,17,76,6,x,11,62,x,0,21,71,x,0,x,9,x,0,x,0,0
E06000043,LA,846,Brighton and Hove,204,x,114,90,48,28,20,60,48,142,x,x,26,9,x,0,18,30,x,0,155,x,9,0,x,0,0
E10000014,LA,850,Hampshire,504,157,282,222,96,82,89,167,70,105,14,26,52,269,8,6,24,98,x,0,337,42,x,x,x,0,x
E06000044,LA,851,Portsmouth,128,x,91,37,24,19,17,47,21,64,x,6,x,18,x,0,31,21,13,x,83,x,x,0,x,0,0
