LA,LA Name,LineNumber,CYPServiceDescription,OwnProvision,PrivateProvision,OtherPublic,Voluntary,TotalExpenditure,Income,NetCurrentExpenditure,GovGrantsInsideAEF,GovGrantsOutsideAEF,LEANetRevenueExpenditure
805,Hartlepool,22,Universal family support,11,0,107475,7999,115485,0,115485,0,0,115485
806,Middlesbrough,22,Universal family support,217176,0,36960,0,254136,0,254136,0,0,254136
807,Redcar and Cleveland,22,Universal family support,33646,0,0,0,33646,0,33646,0,0,33646
808,Stockton-on-Tees,22,Universal family support,0,0,0,0,0,0,0,0,0,0
810,Kingston upon Hull City of,22,Universal family support,999420,2865,0,3000,1005285,28031,977254,0,0,977254
811,East Riding of Yorkshire,22,Universal family support,1000,0,0,0,1000,0,1000,0,0,1000
812,North East Lincolnshire,22,Universal family support,136561,0,0,0,136561,107170,29391,0,0,29391
813,North Lincolnshire,22,Universal family support,173,0,0,82040,82213,0,82213,0,0,82213
815,North Yorkshire,22,Universal family support,0,0,0,0,0,0,0,0,0,0
816,York,22,Universal family support,869873,0,0,0,869873,0,869873,0,0,869873
821,Luton,22,Universal family support,0,0,0,0,0,0,0,0,0,0
825,Buckinghamshire,22,Universal family support,969166,0,0,0,969166,0,969166,0,0,969166
826,Milton Keynes,22,Universal family support,14995,0,0,0,14995,0,14995,0,0,14995
830,Derbyshire,22,Universal family support,0,0,0,261372,261372,72865,188507,0,0,188507
831,Derby,22,Universal family support,80082,0,0,0,80082,0,80082,0,0,80082
835,Dorset,22,Universal family support,0,0,0,0,0,0,0,0,0,0
836,Poole,22,Universal family support,649466,0,0,131185,780651,0,780651,0,0,780651
837,Bournemouth,22,Universal family support,0,0,0,0,0,0,0,0,0,0
840,Durham,22,Universal family support,0,0,0,0,0,0,0,0,0,0
841,Darlington,22,Universal family support,14183,0,0,145000,159183,0,159183,157541,0,1642
845,East Sussex,22,Universal family support,694623,0,0,0,694623,111674,582949,0,0,582949
846,Brighton and Hove,22,Universal family support,44373,0,0,0,44373,15996,28377,0,0,28377
850,Hampshire,22,Universal family support,104415,73967,0,816801,995183,173976,821207,0,0,821207
851,Portsmouth,22,Universal family support,32455,0,0,0,32455,0,32455,0,0,32455
852,Southampton,22,Universal family support,1755815,39075,0,448614,2243504,43925,2199579,0,0,2199579
855,Leicestershire,22,Universal family support,139775,0,0,0,139775,0,139775,0,0,139775
856,Leicester,22,Universal family support,2595524,0,0,435484,3031008,122425,2908583,435484,1926,2471173
857,Rutland,22,Universal family support,77541,0,0,0,77541,0,77541,0,0,77541
860,Staffordshire,22,Universal family support,2892980,1936,0,256100,3151016,80336,3070680,0,389,3070291
861,Stoke-on-Trent,22,Universal family support,0,0,0,0,0,0,0,0,0,0
865,Wiltshire,22,Universal family support,918402.61,0,0,0,918402.61,0,918402.61,0,0,918402.61
866,Swindon,22,Universal family support,0,0,0,0,0,0,0,0,0,0
867,Bracknell Forest,22,Universal family support,82085,0,0,0,82085,0,82085,0,0,82085
868,Windsor and Maidenhead,22,Universal family support,252481,0,0,0,252481,12871,239610,6800,0,232810
869,West Berkshire,22,Universal family support,0,0,0,0,0,0,0,0,0,0
870,Reading,22,Universal family support,17584,215,0,0,17799,0,17799,0,0,17799
871,Slough,22,Universal family support,329952,0,0,0,329952,0,329952,0,0,329952
872,Wokingham,22,Universal family support,0,0,0,0,0,0,0,0,0,0
873,Cambridgeshire,22,Universal family support,2126775,0,0,0,2126775,492703,1634072,0,0,1634072
874,Peterborough,22,Universal family support,1517732,0,0,0,1517732,419216,1098516,0,0,1098516
876,Halton,22,Universal family support,2650362,0,0,0,2650362,153054,2497308,0,0,2497308
877,Warrington,22,Universal family support,666727,0,0,0,666727,0,666727,0,0,666727
878,Devon,22,Universal family support,0,0,0,0,0,0,0,0,0,0
879,Plymouth,22,Universal family support,0,6633,0,0,6633,0,6633,0,0,6633
880,Torbay,22,Universal family support,563492,0,0,0,563492,3992,559500,0,0,559500
881,Essex,22,Universal family support,7809512,157951,0,0,7967463,97631,7869832,0,0,7869832
882,Southend-on-Sea,22,Universal family support,151128,0,0,0,151128,0,151128,0,0,151128
883,Thurrock,22,Universal family support,135382,0,0,0,135382,0,135382,0,0,135382
884,Herefordshire,22,Universal family support,0,0,0,0,0,0,0,0,0,0
885,Worcestershire,22,Universal family support,771499,0,0,0,771499,2400,769099,522649,0,246450
886,Kent,22,Universal family support,2384999,0,0,0,2384999,279933,2105066,0,0,2105066
887,Medway,22,Universal family support,57333,0,0,0,57333,88911,-31578,0,0,-31578
888,Lancashire,22,Universal family support,471879,0,0,0,471879,0,471879,0,0,471879
889,Blackburn with Darwen,22,Universal family support,0,0,0,0,0,0,0,0,0,0
890,Blackpool,22,Universal family support,0,0,0,0,0,0,0,0,0,0
891,Nottinghamshire,22,Universal family support,545235,102,0,0,545337,8012,537325,0,0,537325
892,Nottingham,22,Universal family support,493176,0,0,0,493176,0,493176,0,0,493176
893,Shropshire,22,Universal family support,341780,0,0,0,341780,17331,324449,0,0,324449
894,Telford and Wrekin,22,Universal family support,639316,0,0,0,639316,145201,494115,105811,0,388304
908,Cornwall,22,Universal family support,409737,0,0,0,409737,31,409706,473,21,409212
909,Cumbria,22,Universal family support,2438631,0,0,0,2438631,1695,2436936,0,0,2436936
916,Gloucestershire,22,Universal family support,446188,23430,0,0,469618,0,469618,169922,0,299696
919,Hertfordshire,22,Universal family support,0,0,0,0,0,0,0,0,0,0
921,Isle of Wight,22,Universal family support,92498,0,0,0,92498,43,92455,0,0,92455
925,Lincolnshire,22,Universal family support,604121,15250,0,861554,1480925,305901,1175024,0,0,1175024
926,Norfolk,22,Universal family support,1902598,0,0,0,1902598,228019,1674579,937577,0,737002
928,Northamptonshire,22,Universal family support,0,0,0,0,0,0,0,0,0,0
929,Northumberland,22,Universal family support,0,0,0,0,0,0,0,0,0,0
931,Oxfordshire,22,Universal family support,912998,0,0,0,912998,102,912896,0,0,912896
933,Somerset,22,Universal family support,0,0,0,0,0,0,0,0,0,0
935,Suffolk,22,Universal family support,148550.39,0,0,0,148550.39,0,148550.39,0,0,148550.39
936,Surrey,22,Universal family support,185633,0,0,0,185633,0,185633,0,0,185633
937,Warwickshire,22,Universal family support,1100835,312151,0,0,1412986,94960,1318026,0,0,1318026
938,West Sussex,22,Universal family support,385001,11524,0,345059,741584,69653,671931,439396,0,232535
822,Bedford Borough,22,Universal family support,68545,0,0,0,68545,470,68075,0,0,68075
823,Central Bedfordshire,22,Universal family support,0,0,0,0,0,0,0,0,0,0
895,Cheshire East,22,Universal family support,0,0,0,0,0,0,0,0,0,0
896,Cheshire West and Chester,22,Universal family support,4453573,863,0,0,4454436,11507,4442929,0,0,4442929
201,City of London,23,Total Family Support Services,0,0,175510,0,175510,100,175410,0,0,175410
202,Camden,23,Total Family Support Services,3615971,168697,0,2499520,6284188,1683,6282505,0,0,6282505
203,Greenwich,23,Total Family Support Services,2757559,938392,762047,323100,4781098,350035,4431063,0,0,4431063
204,Hackney,23,Total Family Support Services,7257830,1666660,542510,757920,10224920,350750,9874170,37500,0,9836670
205,Hammersmith and Fulham,23,Total Family Support Services,4052697,0,0,0,4052697,518026,3534671,0,0,3534671
206,Islington,23,Total Family Support Services,4791739,460343,231409,587378,6070869,125649,5945220,22383,0,5922837
207,Kensington and Chelsea,23,Total Family Support Services,2244431.49,545117.69,0,130101.06,2919650.24,107037.93,2812612.31,0,2630.8,2809981.51
208,Lambeth,23,Total Family Support Services,3369222,0,0,0,3369222,0,3369222,0,689957,2679265
209,Lewisham,23,Total Family Support Services,359552,1428566,672272,0,2460390,120885,2339505,0,0,2339505
210,Southwark,23,Total Family Support Services,1365024,1248981,778232,23441,3415678,48246,3367432,0,0,3367432
211,Tower Hamlets,23,Total Family Support Services,11380648,0,0,2940485,14321133,2126129,12195004,35091,0,12159913
212,Wandsworth,23,Total Family Support Services,5544932,76812,0,0,5621744,0,5621744,0,0,5621744
213,Westminster,23,Total Family Support Services,2258806,3110103,0,0,5368909,191863,5177046,940650,107775,4128621
301,Barking and Dagenham,23,Total Family Support Services,3121083,1269472,0,421202,4811757,114903,4696854,0,0,4696854
302,Barnet,23,Total Family Support Services,5378416,895802,788819,271725,7334762,208712,7126050,320472,0,6805578
303,Bexley,23,Total Family Support Services,2054000,729000,331000,131000,3245000,0,3245000,0,0,3245000
304,Brent,23,Total Family Support Services,3066843.95,1050561,0,0,4117404.95,14437,4102967.95,0,0,4102967.95
305,Bromley,23,Total Family Support Services,1594550,0,581690,0,2176240,0,2176240,0,0,2176240
306,Croydon,23,Total Family Support Services,5348279,1180190,269485,339867,7137821,712092,6425729,0,0,6425729
307,Ealing,23,Total Family Support Services,3092581,1615678,185231,546603,5440093,90265,5349828,247000,0,5102828
308,Enfield,23,Total Family Support Services,6651731,1005181,0,304709,7961621,1496818,6464803,0,0,6464803
309,Haringey,23,Total Family Support Services,2343834,914871,5224,560517,3824446,185,3824261,0,49000,3775261
310,Harrow,23,Total Family Support Services,1616371,1608420,0,53212,3278003,452327,2825676,0,0,2825676
311,Havering,23,Total Family Support Services,634593,596659,279912,639354,2150518,2459,2148059,0,0,2148059
312,Hillingdon,23,Total Family Support Services,2478043.51,2162321.64,0,0,4640365.15,202400,4437965.15,1714051.8,0,2723913.35
313,Hounslow,23,Total Family Support Services,3774569,0,0,0,3774569,23681,3750888,0,0,3750888
314,Kingston upon Thames,23,Total Family Support Services,5264647,85271,358757,2050695,7759370,1553429,6205941,20000,0,6185941
315,Merton,23,Total Family Support Services,1625310,844355,0,0,2469665,258736,2210929,124870,0,2086059
316,Newham,23,Total Family Support Services,5309748,5701966,0,0,11011714,617594,10394120,0,0,10394120
317,Redbridge,23,Total Family Support Services,0,0,2350446,0,2350446,20000,2330446,869444,0,1461002
318,Richmond upon Thames,23,Total Family Support Services,1641679,578089,140122,663146,3023036,328398,2694638,154812,0,2539826
319,Sutton,23,Total Family Support Services,5691815,0,0,210374,5902189,726044,5176145,0,0,5176145
320,Waltham Forest,23,Total Family Support Services,3125169,40147,0,1038840,4204156,0,4204156,0,0,4204156
330,Birmingham,23,Total Family Support Services,8555458,5111043,0,1551780,15218281,238356,14979925,3942204,0,11037721
331,Coventry,23,Total Family Support Services,4642721,760924,0,268001,5671646,641756,5029890,257563,0,4772327
332,Dudley,23,Total Family Support Services,2994815,468259,20000,648634,4131708,387590,3744118,0,0,3744118
333,Sandwell,23,Total Family Support Services,1942930,1745466,0,0,3688396,355654,3332742,0,0,3332742
334,Solihull,23,Total Family Support Services,2491384,0,223000,797359,3511743,0,3511743,0,0,3511743
335,Walsall,23,Total Family Support Services,2736846,3059338,261505,265209,6322898,1221401,5101497,1748134,0,3353363
336,Wolverhampton,23,Total Family Support Services,5320518,2483793,24600,7680,7836591,1273698,6562893,1688300,0,4874593
340,Knowsley,23,Total Family Support Services,3339659.84,676903,0,0,4016562.84,106849,3909713.84,0,0,3909713.84
341,Liverpool,23,Total Family Support Services,7769835,1174977,142512,857214,9944538,782083,9162455,0,0,9162455
342,St Helens,23,Total Family Support Services,992222.09,407282.05,0,259177.24,1658681.38,23799.26,1634882.12,140000,0,1494882.12
343,Sefton,23,Total Family Support Services,3896927,1112397,61664,222713,5293701,14364,5279337,0,0,5279337
344,Wirral,23,Total Family Support Services,7158770,0,755706,852437,8766913,391245,8375668,1542987,0,6832681
350,Bolton,23,Total Family Support Services,5060784,0,0,252850,5313634,165442,5148192,0,0,5148192
351,Bury,23,Total Family Support Services,2097280,1066830,0,366971,3531081,114143,3416938,0,0,3416938
352,Manchester,23,Total Family Support Services,5102379,929854,0,0,6032233,77589,5954644,0,0,5954644
353,Oldham,23,Total Family Support Services,1740684,0,608165,0,2348849,6660,2342189,0,0,2342189
354,Rochdale,23,Total Family Support Services,5063836,484542,284908,535326,6368612,108766,6259846,0,0,6259846
355,Salford,23,Total Family Support Services,1129224,468896,171904,524809,2294833,26098,2268735,958946,0,1309789
356,Stockport,23,Total Family Support Services,3266059,253942,313102,968674,4801777,360670,4441107,1619878,0,2821229
357,Tameside,23,Total Family Support Services,3389835,16955,0,0,3406790,96777,3310013,19028,0,3290985
358,Trafford,23,Total Family Support Services,2245131,920994,123650,456,3290231,340207,2950024,398532,0,2551492
359,Wigan,23,Total Family Support Services,5751768.88,270102.44,9534.25,425924.94,6457330.51,480606.72,5976723.79,0,0,5976723.79
370,Barnsley,23,Total Family Support Services,3007588,294604,251716,446563,4000471,604844,3395627,777890,10000,2607737
371,Doncaster,23,Total Family Support Services,5003457,1386076,84896,106,6474535,0,6474535,1684830,142360,4647345
372,Rotherham,23,Total Family Support Services,1633051,649129,0,68000,2350180,0,2350180,0,0,2350180
373,Sheffield,23,Total Family Support Services,7121424.63,4342377.41,0,0,11463802.04,2056080.8,9407721.24,1959572,0,7448149.24
380,Bradford,23,Total Family Support Services,7918923,0,0,267647,8186570,592639,7593931,0,0,7593931
381,Calderdale,23,Total Family Support Services,1006721,301248,30930,30728,1369627,112671,1256956,0,0,1256956
382,Kirklees,23,Total Family Support Services,8068601,0,518913,107015,8694529,1115502,7579027,0,0,7579027
383,Leeds,23,Total Family Support Services,4259433,0,0,1807287,6066720,353924,5712796,2896090,0,2816706
384,Wakefield,23,Total Family Support Services,5590553.64,911771.43,64552.84,704469,7271346.91,892100.32,6379246.59,91000,0,6288246.59
390,Gateshead,23,Total Family Support Services,883427,0,190149,795921,1869497,34309,1835188,1311171,0,524017
391,Newcastle upon Tyne,23,Total Family Support Services,6056917,344291,173194,529548,7103950,592718,6511232,2341082,0,4170150
392,North Tyneside,23,Total Family Support Services,3060531,0,0,133145,3193676,101499,3092177,2227779,0,864398
393,South Tyneside,23,Total Family Support Services,2875810,2667,0,16487,2894964,73303,2821661,0,0,2821661
394,Sunderland,23,Total Family Support Services,1914191,17534,420840,0,2352565,177346,2175219,0,0,2175219
420,Isles Of Scilly,23,Total Family Support Services,47195,0,0,0,47195,0,47195,0,0,47195
800,Bath and North East Somerset,23,Total Family Support Services,1597037,0,0,0,1597037,679564,917473,129000,0,788473
801,Bristol City of,23,Total Family Support Services,7254628,0,0,0,7254628,620467,6634161,258063,0,6376098
802,North Somerset,23,Total Family Support Services,638381,735686,581864,550173,2506104,387411,2118693,0,0,2118693
803,South Gloucestershire,23,Total Family Support Services,2090588,1018013,0,300375,3408976,37512,3371464,1777930,0,1593534
805,Hartlepool,23,Total Family Support Services,2893327,254707,176990,169715,3494739,206150,3288589,859023,170,2429396
806,Middlesbrough,23,Total Family Support Services,2328036,50829,251873,0,2630738,54835,2575903,0,0,2575903
807,Redcar and Cleveland,23,Total Family Support Services,2153859,0,0,0,2153859,82138,2071721,890000,0,1181721
808,Stockton-on-Tees,23,Total Family Support Services,1514326,328370,0,0,1842696,32593,1810103,0,0,1810103
810,Kingston upon Hull City of,23,Total Family Support Services,7835524,187295,0,459678,8482497,413234,8069263,0,0,8069263
811,East Riding of Yorkshire,23,Total Family Support Services,3414220,271564,0,1507091,5192875,274096,4918779,145504,0,4773275
812,North East Lincolnshire,23,Total Family Support Services,9612831,422953,41840,222271,10299895,4799196,5500699,0,0,5500699
813,North Lincolnshire,23,Total Family Support Services,5514664,386517,15492,134676,6051349,52279,5999070,0,0,5999070
815,North Yorkshire,23,Total Family Support Services,2712477,564487,1679751,0,4956715,421560,4535155,70329,0,4464826
816,York,23,Total Family Support Services,2750834,0,0,0,2750834,36611,2714223,0,0,2714223
821,Luton,23,Total Family Support Services,4498645,687800,0,0,5186445,287129,4899316,0,0,4899316
825,Buckinghamshire,23,Total Family Support Services,6377840,0,0,0,6377840,132529,6245311,0,0,6245311
826,Milton Keynes,23,Total Family Support Services,3336361,0,0,0,3336361,27474,3308887,0,186406,3122481
830,Derbyshire,23,Total Family Support Services,7087010,253601,563471,1807561,9711643,572913,9138730,0,0,9138730
831,Derby,23,Total Family Support Services,1028444,0,0,0,1028444,18907,1009537,0,0,1009537
835,Dorset,23,Total Family Support Services,3982718,511751,0,0,4494469,25248,4469221,109478,0,4359743
836,Poole,23,Total Family Support Services,1113399,35873,34851,151922,1336045,6535,1329510,0,0,1329510
837,Bournemouth,23,Total Family Support Services,2696012,324578,0,0,3020590,0,3020590,0,0,3020590
840,Durham,23,Total Family Support Services,7431992,341851,601679,232842,8608364,1103571,7504793,0,0,7504793
841,Darlington,23,Total Family Support Services,1317843,0,0,175000,1492843,171923,1320920,709541,0,611379
845,East Sussex,23,Total Family Support Services,6232301,1638733,0,376241,8247275,2024145,6223130,1249000,0,4974130
846,Brighton and Hove,23,Total Family Support Services,5219174,57893,99788,733401,6110256,66548,6043708,37800,0,6005908
850,Hampshire,23,Total Family Support Services,6611338,4535574,0,2172467,13319379,571982,12747397,0,0,12747397
851,Portsmouth,23,Total Family Support Services,3452314,443477,320,1868,3897979,71207,3826772,0,0,3826772
852,Southampton,23,Total Family Support Services,1937222,44882,0,959985,2942089,164829,2777260,0,0,2777260
855,Leicestershire,23,Total Family Support Services,5014212,228929,151761,880594,6275496,2017233,4258263,0,0,4258263
856,Leicester,23,Total Family Support Services,4671448,0,0,435484,5106932,132080,4974852,435484,59693,4479675
857,Rutland,23,Total Family Support Services,583772,12887,0,0,596659,55921,540738,0,0,540738
860,Staffordshire,23,Total Family Support Services,5529906,3833,32261,671638,6237638,539961,5697677,0,2613,5695064
861,Stoke-on-Trent,23,Total Family Support Services,4223591.05,95355,0,0,4318946.05,136425.27,4182520.78,1240411.5,0,2942109.28
865,Wiltshire,23,Total Family Support Services,3915943.81,0,0,0,3915943.81,159035.84,3756907.97,0,0,3756907.97
866,Swindon,23,Total Family Support Services,1960892,467956,0,0,2428848,565070,1863778,0,0,1863778
867,Bracknell Forest,23,Total Family Support Services,1690847,0,36511,528151,2255509,352666,1902843,0,0,1902843
868,Windsor and Maidenhead,23,Total Family Support Services,1918298,315949,420948,51758,2706953,535967,2170986,20000,0,2150986
869,West Berkshire,23,Total Family Support Services,2382170,202167,47,462606,3046990,109238,2937752,44252,0,2893500
870,Reading,23,Total Family Support Services,2262071,267763,185387,26270,2741491,30239,2711252,320000,0,2391252
871,Slough,23,Total Family Support Services,1309411,504132,0,407384,2220927,31373,2189554,0,0,2189554
872,Wokingham,23,Total Family Support Services,1868718,0,0,0,1868718,6422,1862296,0,0,1862296
873,Cambridgeshire,23,Total Family Support Services,12251590,0,0,0,12251590,2190094,10061496,0,0,10061496
874,Peterborough,23,Total Family Support Services,4692720,0,0,0,4692720,584397,4108323,160000,0,3948323
876,Halton,23,Total Family Support Services,4120340,0,0,0,4120340,160992,3959348,440540,0,3518808
877,Warrington,23,Total Family Support Services,3471235,0,0,0,3471235,277904,3193331,0,0,3193331
878,Devon,23,Total Family Support Services,11044293,102456,1162587,2900864,15210200,2136014,13074186,0,0,13074186
879,Plymouth,23,Total Family Support Services,4553658,1355852,1133,47056,5957699,508836,5448863,1005000,0,4443863
880,Torbay,23,Total Family Support Services,3576754,167939,13966,0,3758659,648519,3110140,0,0,3110140
881,Essex,23,Total Family Support Services,13452692,9216598,0,0,22669290,160179,22509111,0,0,22509111
882,Southend-on-Sea,23,Total Family Support Services,2522411,110004,0,0,2632415,223122,2409293,0,0,2409293
883,Thurrock,23,Total Family Support Services,1843411,0,0,0,1843411,111554,1731857,0,0,1731857
884,Herefordshire,23,Total Family Support Services,217217,495734,26483,682900,1422334,464,1421870,0,0,1421870
885,Worcestershire,23,Total Family Support Services,6886832,757422,0,0,7644254,154373,7489881,1854399,0,5635482
886,Kent,23,Total Family Support Services,8586505,2203438,475847,5875609,17141399,1552741,15588658,0,0,15588658
887,Medway,23,Total Family Support Services,2451706,271959,0,0,2723665,213581,2510084,0,0,2510084
888,Lancashire,23,Total Family Support Services,19798170,3734039,0,2372240,25904449,85147,25819302,0,0,25819302
889,Blackburn with Darwen,23,Total Family Support Services,3826043,51348,0,26667,3904058,10848,3893210,36963,0,3856247
890,Blackpool,23,Total Family Support Services,1592670,596389,0,274778,2463837,61180,2402657,0,0,2402657
891,Nottinghamshire,23,Total Family Support Services,9127713,1081924,116704,19499,10345840,579961,9765879,0,0,9765879
892,Nottingham,23,Total Family Support Services,4564769,761136,0,163402,5489307,540053,4949254,0,0,4949254
893,Shropshire,23,Total Family Support Services,2287676,206546,0,1825646,4319868,219004,4100864,1048550,0,3052314
894,Telford and Wrekin,23,Total Family Support Services,3149161,0,0,0,3149161,198236,2950925,105811,0,2845114
908,Cornwall,23,Total Family Support Services,10536327,263839,0,0,10800166,162397,10637769,280739,1423,10355607
909,Cumbria,23,Total Family Support Services,6374513,0,0,0,6374513,51649,6322864,0,0,6322864
916,Gloucestershire,23,Total Family Support Services,4969652,1139586,22671,1636,6133545,484417,5649128,170384,0,5478744
919,Hertfordshire,23,Total Family Support Services,9987010,887314,2299734,4034776,17208834,18829,17190005,2015057,0,15174948
921,Isle of Wight,23,Total Family Support Services,1557702,218614,70412,80541,1927269,174369,1752900,0,0,1752900
925,Lincolnshire,23,Total Family Support Services,9985327,22571,0,3357646,13365544,741238,12624306,22202,0,12602104
926,Norfolk,23,Total Family Support Services,9864101,0,0,1470709,11334810,1428435,9906375,1152397,0,8753978
928,Northamptonshire,23,Total Family Support Services,3156093,452130,232660,2552104,6392987,0,6392987,0,0,6392987
929,Northumberland,23,Total Family Support Services,2342284,2085166,0,842366,5269816,163872,5105944,22000,0,5083944
931,Oxfordshire,23,Total Family Support Services,5312852,0,0,0,5312852,13389,5299463,0,0,5299463
933,Somerset,23,Total Family Support Services,2360278,0,241908,0,2602186,235721,2366465,0,0,2366465
935,Suffolk,23,Total Family Support Services,10953408.14,32697.74,206059.63,309487.98,11501653.49,8767555.32,2734098.17,0,0,2734098.17
936,Surrey,23,Total Family Support Services,8004798,3379431,592539,3025335,15002103,682810,14319293,10000,0,14309293
937,Warwickshire,23,Total Family Support Services,5809007,312151,0,0,6121158,118954,6002204,0,0,6002204
938,West Sussex,23,Total Family Support Services,16487874,5340859,1850,940058,22770641,1013602,21757039,729887,0,21027152
822,Bedford Borough,23,Total Family Support Services,3221919,336305,10085,922781,4491090,203663,4287427,0,0,4287427
823,Central Bedfordshire,23,Total Family Support Services,5076932,1646574,661390,0,7384896,1780932,5603964,1896836,0,3707128
895,Cheshire East,23,Total Family Support Services,743530,1196580,0,0,1940110,17601,1922509,0,0,1922509
896,Cheshire West and Chester,23,Total Family Support Services,8097039,1051875,0,0,9148914,258435,8890479,60200,0,8830279
201,City of London,24,Adoption services,0,0,4016,0,4016,0,4016,0,0,4016
202,Camden,24,Adoption services,1519061,0,0,65548,1584609,21677,1562932,0,0,1562932
203,Greenwich,24,Adoption services,1865590,0,0,0,1865590,0,1865590,0,0,1865590
204,Hackney,24,Adoption services,1296300,0,72400,0,1368700,0,1368700,0,0,1368700
205,Hammersmith and Fulham,24,Adoption services,2239227,0,0,0,2239227,80544,2158683,0,0,2158683
206,Islington,24,Adoption services,2264541,15433,51013,86649,2417636,51314,2366322,0,0,2366322
207,Kensington and Chelsea,24,Adoption services,1301836.64,0,0,0,1301836.64,72949.92,1228886.72,0,0,1228886.72
208,Lambeth,24,Adoption services,1595197,115652,0,0,1710849,0,1710849,0,0,1710849
209,Lewisham,24,Adoption services,17593,3643,1936654,839,1958729,43755,1914974,0,0,1914974
210,Southwark,24,Adoption services,1122057,345266,558092,140446,2165861,948,2164913,0,0,2164913
211,Tower Hamlets,24,Adoption services,1698580,0,0,0,1698580,56602,1641978,0,0,1641978
212,Wandsworth,24,Adoption services,1278764,0,0,0,1278764,0,1278764,0,0,1278764
213,Westminster,24,Adoption services,1428833,48874,0,0,1477707,77071,1400636,0,0,1400636
301,Barking and Dagenham,24,Adoption services,2121228,0,0,0,2121228,2500,2118728,0,0,2118728
302,Barnet,24,Adoption services,1281439,70654,93054,0,1445147,8531,1436616,0,0,1436616
303,Bexley,24,Adoption services,1042000,0,0,0,1042000,0,1042000,0,0,1042000
304,Brent,24,Adoption services,700248,917089,0,0,1617337,0,1617337,0,0,1617337
305,Bromley,24,Adoption services,1055720,0,0,0,1055720,38640,1017080,0,0,1017080
306,Croydon,24,Adoption services,1147720,825333,0,9317,1982370,341,1982029,0,0,1982029
307,Ealing,24,Adoption services,1992417,0,0,0,1992417,43126,1949291,0,0,1949291
308,Enfield,24,Adoption services,1635696,0,0,0,1635696,146479,1489217,0,0,1489217
309,Haringey,24,Adoption services,1733264,0,53118,117018,1903400,28904,1874496,0,0,1874496
310,Harrow,24,Adoption services,466353,644935,0,1229,1112517,11607,1100910,0,0,1100910
311,Havering,24,Adoption services,810454,0,0,0,810454,11538,798916,0,0,798916
312,Hillingdon,24,Adoption services,1487061.17,0,0,0,1487061.17,21516.1,1465545.07,0,0,1465545.07
313,Hounslow,24,Adoption services,1580700,0,0,0,1580700,129659,1451041,0,0,1451041
314,Kingston upon Thames,24,Adoption services,545827,0,9120,0,554947,5251,549696,0,0,549696
315,Merton,24,Adoption services,736477,37571,9,0,774057,91706,682351,0,0,682351
316,Newham,24,Adoption services,2319451,0,0,0,2319451,0,2319451,160064,0,2159387
317,Redbridge,24,Adoption services,0,0,783325,0,783325,0,783325,0,0,783325
318,Richmond upon Thames,24,Adoption services,851407,0,0,0,851407,95083,756324,0,0,756324
319,Sutton,24,Adoption services,883447,0,0,0,883447,35232,848215,0,0,848215
320,Waltham Forest,24,Adoption services,1546261,8029,42753,269974,1867017,19270,1847747,0,0,1847747
330,Birmingham,24,Adoption services,6471857,0,6275,0,6478132,87169,6390963,0,0,6390963
331,Coventry,24,Adoption services,2059602,0,268635,0,2328237,106023,2222214,0,0,2222214
332,Dudley,24,Adoption services,1173888,0,0,0,1173888,78290,1095598,0,0,1095598
333,Sandwell,24,Adoption services,958585,452156,0,0,1410741,0,1410741,0,0,1410741
334,Solihull,24,Adoption services,902486,53550,0,0,956036,32890,923146,0,0,923146
335,Walsall,24,Adoption services,1741365,332448,0,0,2073813,24483,2049330,0,0,2049330
336,Wolverhampton,24,Adoption services,1233352,0,0,0,1233352,1607,1231745,0,0,1231745
340,Knowsley,24,Adoption services,829943,0,0,0,829943,74461,755482,0,0,755482
341,Liverpool,24,Adoption services,2164528,37647,22342,277910,2502427,8595,2493832,0,0,2493832
342,St Helens,24,Adoption services,723098.17,0,0,0,723098.17,0,723098.17,74000,0,649098.17
343,Sefton,24,Adoption services,1558458,51825,0,39158,1649441,0,1649441,0,0,1649441
344,Wirral,24,Adoption services,2466202,0,0,0,2466202,42371,2423831,0,0,2423831
350,Bolton,24,Adoption services,635646,244650,71867,175023,1127186,17118,1110068,0,0,1110068
351,Bury,24,Adoption services,256697,465359,161978,0,884034,206018,678016,0,0,678016
352,Manchester,24,Adoption services,2214546,190051,0,185596,2590193,17000,2573193,0,0,2573193
353,Oldham,24,Adoption services,1699374,0,0,0,1699374,112690,1586684,0,0,1586684
354,Rochdale,24,Adoption services,1338250,0,0,0,1338250,71325,1266925,0,0,1266925
355,Salford,24,Adoption services,937922,4145,12325,71721,1026113,40338,985775,0,0,985775
356,Stockport,24,Adoption services,985500,32208,40545,300566,1358819,94924,1263895,0,0,1263895
357,Tameside,24,Adoption services,868629,210147,0,0,1078776,55202,1023574,0,0,1023574
358,Trafford,24,Adoption services,925926,3390,56935,29075,1015326,130001,885325,0,0,885325
359,Wigan,24,Adoption services,1021254.2,39123.48,153980.5,267892.68,1482250.86,273178.56,1209072.3,0,0,1209072.3
370,Barnsley,24,Adoption services,1395609,0,158201,0,1553810,436,1553374,0,0,1553374
371,Doncaster,24,Adoption services,2232227,219828,372480,0,2824535,13138,2811397,0,0,2811397
372,Rotherham,24,Adoption services,1198785,139513,0,0,1338298,0,1338298,0,0,1338298
373,Sheffield,24,Adoption services,1017511.16,1415845.89,0,0,2433357.05,63936.51,2369420.54,0,0,2369420.54
