LA,LA Name,LineNumber,CYPServiceDescription,OwnProvision,PrivateProvision,OtherPublic,Voluntary,TotalExpenditure,Income,NetCurrentExpenditure,GovGrantsInsideAEF,GovGrantsOutsideAEF,LEANetRevenueExpenditure
826,Milton Keynes,1,Spend by individual Sure Start Children's Centres,5470281,0,0,0,5470281,339571,5130710,0,0,5130710
830,Derbyshire,1,Spend by individual Sure Start Children's Centres,16319163,0,0,0,16319163,243703,16075460,0,0,16075460
831,Derby,1,Spend by individual Sure Start Children's Centres,4589324,0,0,0,4589324,0,4589324,137177,0,4452147
835,Dorset,1,Spend by individual Sure Start Children's Centres,3216277,0,0,0,3216277,503884,2712393,0,0,2712393
836,Poole,1,Spend by individual Sure Start Children's Centres,1425951,12729,0,20259,1458939,13346,1445593,0,0,1445593
837,Bournemouth,1,Spend by individual Sure Start Children's Centres,860217,99700,0,1616801,2576718,0,2576718,0,0,2576718
840,Durham,1,Spend by individual Sure Start Children's Centres,9683028,0,0,42716,9725744,673220,9052524,9683,250,9042591
841,Darlington,1,Spend by individual Sure Start Children's Centres,994445,0,94551,32964,1121960,17366,1104594,581369,0,523225
845,East Sussex,1,Spend by individual Sure Start Children's Centres,4935324,0,0,0,4935324,1194062,3741262,0,0,3741262
846,Brighton and Hove,1,Spend by individual Sure Start Children's Centres,4126826,340,192436,1781,4321383,682262,3639121,0,0,3639121
850,Hampshire,1,Spend by individual Sure Start Children's Centres,12806496,0,0,3227033,16033529,12484,16021045,0,0,16021045
851,Portsmouth,1,Spend by individual Sure Start Children's Centres,2508256,0,0,0,2508256,38111,2470145,0,0,2470145
852,Southampton,1,Spend by individual Sure Start Children's Centres,2997211,162726,13467,184672,3358076,85352,3272724,0,0,3272724
855,Leicestershire,1,Spend by individual Sure Start Children's Centres,3530271,0,2913725,0,6443996,0,6443996,0,0,6443996
856,Leicester,1,Spend by individual Sure Start Children's Centres,4257354,20132,0,2547965,6825451,36673,6788778,6621530,232,167016
857,Rutland,1,Spend by individual Sure Start Children's Centres,412536,0,0,0,412536,421,412115,0,0,412115
860,Staffordshire,1,Spend by individual Sure Start Children's Centres,9362319,0,0,0,9362319,1904734,7457585,0,0,7457585
861,Stoke-on-Trent,1,Spend by individual Sure Start Children's Centres,5973767.31,0,0,0,5973767.31,189579.74,5784187.57,6162383,0,-378195.43
865,Wiltshire,1,Spend by individual Sure Start Children's Centres,0,0,0,0,0,0,0,0,0,0
866,Swindon,1,Spend by individual Sure Start Children's Centres,2312805,174127,0,857500,3344432,287358,3057074,0,0,3057074
867,Bracknell Forest,1,Spend by individual Sure Start Children's Centres,637169.46,0,0,0,637169.46,19854.81,617314.65,0,0,617314.65
868,Windsor and Maidenhead,1,Spend by individual Sure Start Children's Centres,1362070,0,58986,0,1421056,17854,1403202,0,0,1403202
869,West Berkshire,1,Spend by individual Sure Start Children's Centres,1276797,0,67690,0,1344487,45235,1299252,0,0,1299252
870,Reading,1,Spend by individual Sure Start Children's Centres,1126645,250766,561993,12517,1951921,93341,1858580,0,0,1858580
871,Slough,1,Spend by individual Sure Start Children's Centres,2065014,0,0,0,2065014,1266015,798999,0,0,798999
872,Wokingham,1,Spend by individual Sure Start Children's Centres,974666,0,0,0,974666,0,974666,0,0,974666
