LA,LA Name,LineNumber,CYPServiceDescription,ReportGroup,OwnProvision,PrivateProvision,OtherPublic,Voluntary,TotalExpenditure,Income,NetCurrentExpenditure,GovGrantsInsideAEF,GovGrantsOutsideAEF,LEANetRevenueExpenditure
894,Telford and Wrekin,1,1 Spend by individual Sure Start Children's Centres ,SURE START CHILDREN'S CENTRES,2958670,0,0,6450,2965120,183325,2781795,0,0,2781795
894,Telford and Wrekin,2,2 Spend on local authority provided or commissioned area-wide services delivered through Sure Start Children’s Centres,SURE START CHILDREN'S CENTRES,0,0,0,0,0,0,0,0,0,0
894,Telford and Wrekin,3,3 Other early years funding,SURE START CHILDREN'S CENTRES,879981,302858,0,77740,1260579,6614,1253965,0,0,1253965
894,Telford and Wrekin,4,4 Total Sure Start Children's Centres,SURE START CHILDREN'S CENTRES,3838651,302858,0,84190,4225699,189939,4035760,0,0,4035760
894,Telford and Wrekin,5,5 Residential care,CHILDREN LOOKED AFTER,535471,6729262,0,0,7264733,891973,6372760,0,0,6372760
894,Telford and Wrekin,6,6 Fostering services,CHILDREN LOOKED AFTER,3266678,3918306,0,0,7184984,46053,7138931,0,0,7138931
894,Telford and Wrekin,7,7 Adoption services,CHILDREN LOOKED AFTER,289781,0,289790,0,579571,258,579313,37743,0,541570
894,Telford and Wrekin,8,8 Special guardianship support,CHILDREN LOOKED AFTER,334101,4875,0,0,338976,654,338322,0,0,338322
894,Telford and Wrekin,9,9 Other children looked after,CHILDREN LOOKED AFTER,52934,171859,0,0,224793,0,224793,0,0,224793
894,Telford and Wrekin,10,10 Short breaks (respite) for looked after disabled children,CHILDREN LOOKED AFTER,0,0,0,0,0,0,0,0,0,0
894,Telford and Wrekin,11,11 Children placed with family and friends ,CHILDREN LOOKED AFTER,605495,159,0,0,605654,1585,604069,0,0,604069
894,Telford and Wrekin,12,12  Education of looked after children,CHILDREN LOOKED AFTER,162110,0,0,0,162110,0,162110,104474,0,57636
894,Telford and Wrekin,13,13 Leaving care support services ,CHILDREN LOOKED AFTER,843987,1155455,0,0,1999442,114,1999328,0,0,1999328
