time_period,time_identifier,geographic_level,country_name,country_code,region_name,region_code,la_name,old_la_code,new_la_code,category_of_expenditure,description_of_expenditure,own_provision,private_provision,other_public_sector_provision,voluntary_provision,total_expenditure,income,net_current_expenditure,grants_inside_AEF,grants_outside_AEF,net_revenue_expenditure,per_capita_net_current_spend
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Wigan,359,E08000010,Family support services,3.4.2 Short breaks (respite) for disabled children,222504,0,0,10045,232549,21068,211481,0,0,211481,3
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Wigan,359,E08000010,Family support services,3.4.3 Other support for disabled children,0,0,0,0,0,0,0,0,0,0,0
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Wigan,359,E08000010,Family support services,3.4.4 Targeted family support,2348145,1413864,96412,70168,3928590,319152,3609437,0,0,3609437,53
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Wigan,359,E08000010,Family support services,3.4.5 Universal family support,2879400,0,0,0,2879400,1034523,1844877,0,0,1844877,27
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Wigan,359,E08000010,Family support services,3.4.6 Total Family Support Services,5519214,2792460,96412,108243,8516329,1675549,6840780,0,0,6840780,101
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Wigan,359,E08000010,Services for young people,3.5.1 Universal services for young people,437175,445616,0,0,882791,347278,535514,0,0,535514,8
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Wigan,359,E08000010,Services for young people,3.5.2 Targeted services for young people,955272,0,0,0,955272,98240,857032,0,0,857032,13
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Wigan,359,E08000010,Services for young people,3.5.3 Total Services for young people,1392447,445616,0,0,1838063,445517,1392545,0,0,1392545,20
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Wigan,359,E08000010,Services for young people,"8a.1 Substance misuse services (Drugs, Alcohol and Volatile substances) (included in 3.5.1 and 3.5.2 above)",x,x,x,x,0,x,x,x,x,x,0
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Wigan,359,E08000010,Services for young people,8a.2 Teenage pregnancy services (included in 3.5.1 and 3.5.2 above),x,x,x,x,0,x,x,x,x,x,0
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Wigan,359,E08000010,Youth justice,3.6.1 Youth justice,x,x,x,x,1750553,531539,1219014,x,x,x,18
