time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,characteristic,school_type,number_of_children,permanent_exclusions,permanent_exclusions_%,fixed_term_exclusions,fixed_term_exclusions_%
201718,Reporting year,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,Looked after children,State-funded primary secondary and special,21,c,c,7,33.33
201718,Reporting year,Local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,Looked after children,State-funded primary secondary and special,70,c,c,11,15.71
201718,Reporting year,Local authority,E92000001,England,E12000009,South West,837,E06000028,Bournemouth,Looked after children,State-funded primary secondary and special,100,c,c,16,16
201718,Reporting year,Local authority,E92000001,England,E12000009,South West,801,E06000023,Bristol City of,Looked after children,State-funded primary secondary and special,314,c,c,42,13.38
201718,Reporting year,Local authority,E92000001,England,E12000009,South West,908,E06000052,Cornwall,Looked after children,State-funded primary secondary and special,190,c,c,27,14.21
201718,Reporting year,Local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,Looked after children,State-funded primary secondary and special,276,c,c,43,15.58
201718,Reporting year,Local authority,E92000001,England,E12000009,South West,835,E10000009,Dorset,Looked after children,State-funded primary secondary and special,190,c,c,23,12.11
201718,Reporting year,Local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,Looked after children,State-funded primary secondary and special,252,c,c,40,15.87
201718,Reporting year,Local authority,E92000001,England,E12000009,South West,420,E06000053,Isles of Scilly,Looked after children,State-funded primary secondary and special,0,.,.,.,.
201718,Reporting year,Local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,Looked after children,State-funded primary secondary and special,95,c,c,12,12.63
201718,Reporting year,Local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,Looked after children,State-funded primary secondary and special,155,c,c,25,16.13
201718,Reporting year,Local authority,E92000001,England,E12000009,South West,836,E06000029,Poole,Looked after children,State-funded primary secondary and special,75,c,c,15,20
201718,Reporting year,Local authority,E92000001,England,E12000009,South West,933,E10000027,Somerset,Looked after children,State-funded primary secondary and special,187,c,c,37,19.79
201718,Reporting year,Local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,Looked after children,State-funded primary secondary and special,69,c,c,6,8.7
201718,Reporting year,Local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,Looked after children,State-funded primary secondary and special,121,c,c,19,15.7
201718,Reporting year,Local authority,E92000001,England,E12000009,South West,880,E06000027,Torbay,Looked after children,State-funded primary secondary and special,149,c,c,23,15.44
201718,Reporting year,Local authority,E92000001,England,E12000009,South West,865,E06000054,Wiltshire,Looked after children,State-funded primary secondary and special,209,c,c,32,15.31
201718,Reporting year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,Looked after children,State-funded primary secondary and special,51,c,c,c,c
201718,Reporting year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,Looked after children,State-funded primary secondary and special,c,c,c,c,c
201718,Reporting year,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,Looked after children,State-funded primary secondary and special,133,c,c,14,10.53
201718,Reporting year,Local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,Looked after children,State-funded primary secondary and special,79,c,c,10,12.66
201718,Reporting year,Local authority,E92000001,England,E13000001,Inner London,309,E09000014,Haringey,Looked after children,State-funded primary secondary and special,184,c,c,27,14.67
201718,Reporting year,Local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,Looked after children,State-funded primary secondary and special,105,c,c,16,15.24
201718,Reporting year,Local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,Looked after children,State-funded primary secondary and special,23,c,c,c,c
201718,Reporting year,Local authority,E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,Looked after children,State-funded primary secondary and special,148,c,c,13,8.78
201718,Reporting year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Looked after children,State-funded primary secondary and special,178,c,c,23,12.92
201718,Reporting year,Local authority,E92000001,England,E13000001,Inner London,316,E09000025,Newham,Looked after children,State-funded primary secondary and special,128,c,c,16,12.5
201718,Reporting year,Local authority,E92000001,England,E13000001,Inner London,210,E09000028,Southwark,Looked after children,State-funded primary secondary and special,215,c,c,32,14.88
201718,Reporting year,Local authority,E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,Looked after children,State-funded primary secondary and special,114,c,c,11,9.65
201718,Reporting year,Local authority,E92000001,England,E13000001,Inner London,212,E09000032,Wandsworth,Looked after children,State-funded primary secondary and special,96,c,c,10,10.42
201718,Reporting year,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,Looked after children,State-funded primary secondary and special,59,c,c,12,20.34
201718,Reporting year,Local authority,E92000001,England,E13000002,Outer London,301,E09000002,Barking and Dagenham,Looked after children,State-funded primary secondary and special,160,c,c,10,6.25
201718,Reporting year,Local authority,E92000001,England,E13000002,Outer London,302,E09000003,Barnet,Looked after children,State-funded primary secondary and special,98,c,c,8,8.16
201718,Reporting year,Local authority,E92000001,England,E13000002,Outer London,303,E09000004,Bexley,Looked after children,State-funded primary secondary and special,89,c,c,14,15.73
201718,Reporting year,Local authority,E92000001,England,E13000002,Outer London,304,E09000005,Brent,Looked after children,State-funded primary secondary and special,109,c,c,14,12.84
201718,Reporting year,Local authority,E92000001,England,E13000002,Outer London,305,E09000006,Bromley,Looked after children,State-funded primary secondary and special,117,c,c,14,11.97
201718,Reporting year,Local authority,E92000001,England,E13000002,Outer London,306,E09000008,Croydon,Looked after children,State-funded primary secondary and special,211,c,c,23,10.9
201718,Reporting year,Local authority,E92000001,England,E13000002,Outer London,307,E09000009,Ealing,Looked after children,State-funded primary secondary and special,131,c,c,14,10.69
201718,Reporting year,Local authority,E92000001,England,E13000002,Outer London,308,E09000010,Enfield,Looked after children,State-funded primary secondary and special,128,c,c,16,12.5
201718,Reporting year,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,Looked after children,State-funded primary secondary and special,223,c,c,24,10.76
201718,Reporting year,Local authority,E92000001,England,E13000002,Outer London,310,E09000015,Harrow,Looked after children,State-funded primary secondary and special,49,c,c,9,18.37
201718,Reporting year,Local authority,E92000001,England,E13000002,Outer London,311,E09000016,Havering,Looked after children,State-funded primary secondary and special,93,c,c,11,11.83
201718,Reporting year,Local authority,E92000001,England,E13000002,Outer London,312,E09000017,Hillingdon,Looked after children,State-funded primary secondary and special,97,c,c,15,15.46
201718,Reporting year,Local authority,E92000001,England,E13000002,Outer London,313,E09000018,Hounslow,Looked after children,State-funded primary secondary and special,81,c,c,c,c
201718,Reporting year,Local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,Looked after children,State-funded primary secondary and special,43,c,c,c,c
201718,Reporting year,Local authority,E92000001,England,E13000002,Outer London,315,E09000024,Merton,Looked after children,State-funded primary secondary and special,47,c,c,c,c
201718,Reporting year,Local authority,E92000001,England,E13000002,Outer London,317,E09000026,Redbridge,Looked after children,State-funded primary secondary and special,74,c,c,7,9.46
201718,Reporting year,Local authority,E92000001,England,E13000002,Outer London,318,E09000027,Richmond upon Thames,Looked after children,State-funded primary secondary and special,25,c,c,c,c
201718,Reporting year,Local authority,E92000001,England,E13000002,Outer London,319,E09000029,Sutton,Looked after children,State-funded primary secondary and special,87,c,c,11,12.64
201718,Reporting year,Local authority,E92000001,England,E13000002,Outer London,320,E09000031,Waltham Forest,Looked after children,State-funded primary secondary and special,95,c,c,15,15.79
