time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,performance_type,cla_ks4_outcomes_children_total,cla_ks4_englishandmathsL4_number_achieving,cla_ks4_englishandmathsL4_percent_achieving,cla_ks4_englishandmathsL5_number_achieving,cla_ks4_englishandmathsL5_percent_achieving,cla_ks4_att8_points_total,cla_ks4_att8_average_points,cla_ks4_progress8_children_eligible,cla_ks4_progress8_points_total,cla_ks4_progress8_points_average
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,384,E08000036,Wakefield,KS4,33,7,21.2,c,c,711.5,21.6,27,-19.828,-0.73
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,KS4,30,c,c,c,c,559.5,18.6,29,-43.592,-1.5
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,KS4,50,8,16,6,12,1168.5,23.4,43,-44.986,-1.05
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,KS4,18,c,c,c,c,430.25,23.9,16,-31.93,-2
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,KS4,28,c,c,c,c,448.25,16,24,-35.245,-1.47
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,KS4,34,6,17.6,c,c,698.5,20.5,28,-40.656,-1.45
2018/19,year ending 31 march 2018,Local authority,E92000000,England,E13000000,South West,420,E06000053,Isles of Scilly,KS4,0,.,.,.,.,.,.,.,.,.
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,KS4,10,c,c,c,c,230,23,7,-5.752,-0.82
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",KS4,51,8,15.7,c,c,846,16.6,33,-38.26,-1.16
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,KS4,22,c,c,c,c,318.75,14.5,16,-27.114,-1.69
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,KS4,20,c,c,c,c,300.5,15,12,-15.696,-1.31
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,KS4,23,c,c,c,c,384.5,16.7,16,-23.75,-1.48
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,KS4,28,c,c,c,c,560.5,20,22,-36.541,-1.66
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,KS4,18,6,33.3,c,c,346.75,19.3,14,-22.409,-1.6
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,KS4,29,6,20.7,c,c,615,21.2,26,-36.854,-1.42
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,810,E06000010,"Kingston Upon Hull, City of",KS4,27,c,c,c,c,431,16,24,-28.892,-1.2
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,811,E06000011,East Riding of Yorkshire,KS4,18,6,33.3,c,c,441.5,24.5,16,-20.083,-1.26
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,812,E06000012,North East Lincolnshire,KS4,27,c,c,c,c,461.75,17.1,21,-32.118,-1.53
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,813,E06000013,North Lincolnshire,KS4,10,c,c,c,c,188.75,18.9,8,-13.297,-1.66
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,815,E10000023,North Yorkshire,KS4,36,c,c,c,c,539.75,15,28,-42.441,-1.52
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,816,E06000014,York,KS4,24,6,25,c,c,565,23.5,19,-9.782,-0.51
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,KS4,27,6,22.2,c,c,428,15.9,18,-23.166,-1.29
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford Borough,KS4,18,c,c,c,c,324.75,18,12,-11.451,-0.95
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,KS4,12,c,c,c,c,278.75,23.2,10,-6.309,-0.63
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000008,South East,825,E10000002,Buckinghamshire,KS4,37,c,c,c,c,464.25,12.5,25,-34.526,-1.38
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,KS4,25,c,c,c,c,363.25,14.5,19,-23.098,-1.22
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,KS4,43,8,18.6,c,c,922,21.4,37,-38.734,-1.05
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,KS4,c,c,c,c,c,c,c,c,c,c
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000009,South West,835,E10000009,Dorset,KS4,30,c,c,c,c,431.25,14.4,21,-20.093,-0.96
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000009,South West,836,E06000029,Poole,KS4,17,c,c,c,c,243.75,14.3,12,-8.412,-0.7
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000009,South West,837,E06000028,Bournemouth,KS4,15,c,c,c,c,323,21.5,12,-14.139,-1.18
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000001,North East,840,E06000047,Durham,KS4,57,13,22.8,c,c,1458.25,25.6,51,-46.837,-0.92
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,KS4,13,c,c,c,c,190,14.6,10,-15.17,-1.52
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,KS4,48,c,c,c,c,716.5,14.9,37,-49.073,-1.33
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,KS4,31,c,c,c,c,533.25,17.2,23,-41.066,-1.79
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,KS4,115,17,14.8,c,c,2109,18.3,97,-132.518,-1.37
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,KS4,25,c,c,c,c,265.25,10.6,19,-40.578,-2.14
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000008,South East,852,E06000045,Southampton,KS4,30,c,c,c,c,631,21,26,-30.844,-1.19
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,KS4,37,10,27,c,c,686.25,18.5,31,-46.425,-1.5
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,KS4,42,8,19,c,c,890,21.2,33,-32.966,-1
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,KS4,c,c,c,c,c,c,c,c,c,c
