time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,characteristic,sen_category,number,percent
201819,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,373,E08000019,Sheffield,Looked after children,Total,321,.
201819,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,384,E08000036,Wakefield,Looked after children,Total,268,.
201819,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,816,E06000014,York,Looked after children,Total,112,.
201819,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,Looked after children,Total,261,.
201819,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Looked after children,Total,349,.
201819,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Looked after children,Total,344,.
201819,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Looked after children,Total,297,.
201819,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,Looked after children,Total,294,.
201819,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,928,E10000021,Northamptonshire,Looked after children,Total,527,.
201819,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Looked after children,Total,326,.
201819,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Looked after children,Total,454,.
201819,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Looked after children,Total,18,.
201819,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Looked after children,Total,982,.
201819,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Looked after children,Total,324,.
201819,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Looked after children,Total,376,.
201819,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,Herefordshire,Looked after children,Total,201,.
201819,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Looked after children,Total,406,.
201819,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Looked after children,Total,169,.
201819,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Looked after children,Total,218,.
201819,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Looked after children,Total,595,.
201819,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Looked after children,Total,453,.
201819,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Looked after children,Total,211,.
201819,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Looked after children,Total,365,.
201819,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Looked after children,Total,327,.
201819,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Looked after children,Total,387,.
201819,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Looked after children,Total,448,.
201819,Reporting year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford borough,Looked after children,Total,126,.
201819,Reporting year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Looked after children,Total,368,.
201819,Reporting year,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Looked after children,Total,175,.
201819,Reporting year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Looked after children,Total,523,.
201819,Reporting year,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,Looked after children,Total,482,.
201819,Reporting year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Looked after children,Total,179,.
201819,Reporting year,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,Looked after children,Total,613,.
201819,Reporting year,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Looked after children,Total,180,.
201819,Reporting year,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,Looked after children,Total,141,.
201819,Reporting year,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,Looked after children,Total,433,.
201819,Reporting year,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,Looked after children,Total,152,.
201819,Reporting year,Local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,Looked after children,Total,76,.
